Site,SAL,
A_1010,x,
A_1025,x,
A_1040,x,
A_1065,x,
A_1080,x,
A_109,x,
A_1095,x,
A_1103,x,
A_112,x,
A_1125,x,
A_1129,x,
A_1130,x,
A_1141,x,
A_1150,x,
A_1158,x,
A_1175,x,
A_1180,x,
A_1200,x,
A_1201,x,
A_1216,x,
A_1231,x,
A_1256,x,
A_130,x,
A_1320,x,
A_1335,x,
A_1350,x,
A_1351,x,
A_1404,x,
A_1419,x,
A_142,x,
A_1434,x,
A_1449,x,
A_1464,x,
A_1479,x,
A_1494,x,
A_1509,x,
A_1524,x,
A_1539,x,
A_1580,x,
A_161,x,
A_1683,x,
A_1704,x,
A_176,x,
A_191,x,
A_1991,x,
A_2,x,
A_2006,x,
A_2021,x,
A_2040,x,
A_2055,x,
A_2056,x,
A_2071,x,
A_2086,x,
A_2091,x,
A_21,x,
A_2106,x,
A_2121,x,
A_2141,x,
A_2156,x,
A_2171,x,
A_2205,x,
A_2210,x,
A_2230,x,
A_2260,x,
A_2275,x,
A_2276,x,
A_2291,x,
A_2319,x,
A_2335,x,
A_2353,x,
A_2375,x,
A_2382,x,
A_239,x,
A_2394,x,
A_2405,x,
A_2413,x,
A_2435,x,
A_2445,x,
A_2452,x,
A_2475,x,
A_2490,x,
A_2491,x,
A_251,x,
A_2520,x,
A_2535,x,
A_2541,x,
A_2570,x,
A_2571,x,
A_2591,x,
A_2615,x,
A_2621,x,
A_2641,x,
A_2656,x,
A_2685,x,
A_2691,x,
A_2706,x,
A_2734,x,
A_2743,x,
A_277,x,
A_2770,x,
A_2785,x,
A_2797,x,
A_2820,x,
A_2824,x,
A_2836,x,
A_2855,x,
A_2870,x,
A_2885,x,
A_2888,x,
A_2905,x,
A_292,x,
A_2920,x,
A_2935,x,
A_2936,x,
A_2954,x,
A_2970,x,
A_2983,x,
A_299,x,
A_2992,x,
A_3020,x,
A_3035,x,
A_3041,x,
A_3070,x,
A_3078,x,
A_3105,x,
A_313,x,
A_3135,x,
A_3141,x,
A_316,x,
A_3170,x,
A_3185,x,
A_3186,x,
A_3191,x,
A_3206,x,
A_3221,x,
A_3255,x,
A_3256,x,
A_3270,x,
A_3285,x,
A_3290,x,
A_3291,x,
A_3316,x,
A_3321,x,
A_334,x,
A_3341,x,
A_3356,x,
A_3371,x,
A_3391,x,
A_3410,x,
A_3425,x,
A_3433,x,
A_3441,x,
A_3456,x,
A_3485,x,
A_350,x,
A_366,x,
A_380,x,
A_395,x,
A_401,x,
A_411,x,
A_425,x,
A_430,x,
A_44,x,
A_445,x,
A_462,x,
A_477,x,
A_492,x,
A_501,x,
A_516,x,
A_531,x,
A_547,x,
A_556,x,
A_56,x,
A_571,x,
A_600,x,
A_605,x,
A_631,x,
A_646,x,
A_662,x,
A_677,x,
A_704,x,
A_71,x,
A_719,x,
A_734,x,
A_749,x,
A_751,x,
A_770,x,
A_785,x,
A_799,x,
A_801,x,
A_805,x,
A_819,x,
A_836,x,
A_851,x,
A_86,x,
A_879,x,
A_940,x,
A_946,x,
A_954,x,
B_3373,x,
B_1282,x,
B_1300,x,
B_1407,x,
B_1572,x,
B_1610,x,
B_1619,x,
B_1633,x,
B_1664,x,
B_1684,x,
B_2026,x,
B_2116,x,
B_2117,x,
B_2119,x,
B_2120,x,
B_2149,x,
B_215,x,
B_2289,x,
B_2298,x,
B_2334,x,
B_2335,x,
B_2495,x,
B_2513,x,
B_2534,x,
B_2535,x,
B_2569,x,
B_2596,x,
B_2626,x,
B_2714,x,
B_2740,x,
B_2762,x,
B_2769,x,
B_2796,x,
B_2803,x,
B_2820,x,
B_2826,x,
B_2851,x,
B_2859,x,
B_2929,x,
B_3091,x,
B_31,x,
B_3119,x,
B_3121,x,
B_3196,x,
B_3310,x,
B_3360,x,
B_3481,x,
B_628,x,
B_697,x,
B_775,x,
B_776,x,
C_355,x,
C_360,x,
C_385,x,
C_390,x,
D_1554,x,
D_1564,x,
D_2178,x,
D_2246,x,
D_2282,x,
D_2325,x,
D_2489,x,
D_2523,x,
D_2552,x,
D_2596,x,
D_2601,x,
D_2875,x,
D_2880,x,
D_2883,x,
D_3057,x,
D_55,x,
D_958,x,
D_961,x,
E_2752,x,
E_2448,x,
E_3063,x,
F_2223,x,
F_3186,x,
M_1,x,
M_2,x,
M_3,x,
M_4,x,
M_5,x,
M_6,x,
M_7,x,
M_8,x,
Y_105,x,
Y_137,x,
Y_153,x,
Y_161,x,
Y_24,x,
Y_254,x,
Y_268,x,
Y_287,x,
Y_289,x,
Y_3,x,
Y_314,x,
Y_316,x,
Y_317,x,
Y_34,x,
Y_364,x,
Y_366,x,
Y_368,x,
Y_50,x,
Y_58,x,
Y_74,x,
Z_100,x,
Z_101,x,
Z_107,x,
Z_11,x,
Z_113,x,
Z_114,x,
Z_122,x,
Z_123,x,
Z_125,x,
Z_127,x,
Z_128,x,
Z_135,x,
Z_136,x,
Z_140,x,
Z_141,x,
Z_146,x,
Z_15,x,
Z_151,x,
Z_155,x,
Z_157,x,
Z_161,x,
Z_168,x,
Z_171,x,
Z_178,x,
Z_181,x,
Z_184,x,
Z_195,x,
Z_200,x,
Z_205,x,
Z_211,x,
Z_213,x,
Z_214,x,
Z_215,x,
Z_22,x,
Z_221,x,
Z_223,x,
Z_227,x,
Z_229,x,
Z_23,x,
Z_230,x,
Z_232,x,
Z_243,x,
Z_244,x,
Z_245,x,
Z_246,x,
Z_248,x,
Z_252,x,
Z_255,x,
Z_270,x,
Z_278,x,
Z_286,x,
Z_29,x,
Z_299,x,
Z_30,x,
Z_314,x,
Z_33,x,
Z_34,x,
Z_37,x,
Z_40,x,
Z_47,x,
Z_50,x,
Z_51,x,
Z_56,x,
Z_57,x,
Z_58,x,
Z_63,x,
Z_64,x,
Z_68,x,
Z_72,x,
Z_74,x,
Z_79,x,
Z_8,x,
Z_80,x,
Z_81,x,
Z_88,x,
Z_89,x,
