 'p_name','chaetomorpha', 'cladophora', 'cgm', 'ulva', 'ulva_a', 'ulva_b', 'ulva_c'
 'p_initial',10,10,10,20,300,0,0
 'p0',0.2,0.2,0.2,1.2,1.2,1,1
 'w_p',0,-0.07344,-0.07344,0,0,0,0
 'Xcc',300,50,0.25,0.25,0.25,0.25,0.25
 'R_growth',0.6,0.8,0.6,0.7,0.9,0.7,0.3
 'fT_Method',1,1,1,1,1,1,1
 'theta_growth',1.06,1.09,1.07,1.057,1.067,1.057,1.047
 'T_std',18,23,12,20,20,20,20
 'T_opt',22,30,22,25,25,30,31
 'T_max',28,39,35,35,35,39,42
 'lightModel',3,2,2,1,0,0,0
 'I_K',140,130,100,150,20,50,100
 'I_S',390,1300,200,600,60,600,600
 'KePHY',4.67E-05,0.0004,0.0004,0.0004,0.00004,0.001,0.002
 'f_pr',0.025,0.025,0.025,0.025,0.012,0.013,0.015
 'R_resp',0.07,0.17,0.151,0.05,0.02,0.06,0.09
 'theta_resp',1.04,1.06,1.06,1.047,1.047,1.047,1.067
 'k_fres',0.6,0.5,0.25,0.7,0.72,0.76,0.8
 'k_fdom',0.1,0.7,0.3,0.3,0.28,0.24,0.2
 'salTol',0,0,0,5,-4,-4,-4
 'S_bep',1,3,2,0,0.05,0.05,0.05
 'S_maxsp',36,36,36,45,145,145,145
 'S_opt',18,3,28,18,45,45,45
 'simDINUptake',1,1,1,1,1,1,1
 'simDONUptake',0,0,0,0,0,0,0
 'simNFixation',0,0,0,0,0,0,0
 'simINDynamics',0,0,0,1,2,2,2
 'N_o',0,0,0,1,0.1,1,1
 'K_N',1.4143,3.2143,10,10,1,2,3
 'X_ncon',0.0085714,0.068571,0.06857,0.034,0.034,0.034,0.034
 'X_nmin',0.10286,0.034286,0.03429,0.018,0.018,0.018,0.018
 'X_nmax',0.12857,0.068571,0.15,0.0676,0.0676,0.0676,0.0676
 'R_nuptake',0,0,0,0.208,0.308,0.208,0.208
 'k_nfix',2,2,2,0.7,0.7,0.7,0.7
 'R_nfix',0.0028571,0.017143,0,0,0,0,0
 'simDIPUptake',1,1,1,1,1,1,1
 'simIPDynamics',0,0,1,1,2,2,2
 'P_0',0.0645,0.0645,0.1,1,0.01,0.01,0.01
 'K_P',0.12355,0.29032,4.03,1,0.2,0.2,0.2
 'X_pcon',0.0003871,0.0030968,0.001,0.001,0.001,0.001,0.001
 'X_pmin',0.0019355,0.00077419,0.00077419,0.00048,0.00048,0.00048,0.00048
 'X_pmax',0.027097,0.0077419,0.00645,0.00216,0.00216,0.00216,0.00216
 'R_puptake',0,0,2,0.00024,0.00024,0.00024,0.00024
 'simSiUptake',0,0,0,0,0,0,0
 'Si_0',0,0,0,0,0,0,0
 'K_Si',0,0,0,8,8,8,8
 'X_sicon',0,0,0,0.171,0.171,0.171,0.171
