Old Name,Old Units,New Name,New Units,Conv
Alkalinity_as_Calcium_Carbonate_mg_L,mg/L,Alkalinity_CACO3,mg/L,1
Ammonia_as_N_mg_L,mg/L,WQ_NIT_AMM,mmol/m^3,71.42857143
Chloride_mg_L,mg/L,Chloride,mg/L,1
Chlorophyll a,µg/L,WQ_DIAG_PHY_TCHLA,ug/L,1
Dissolved_Organic_Carbon_mg_L,mg/L,WQ_OGM_DOC,mmol/m^3,83.333333
Nitrate_Nitrite_as_N_mg_L,mg/L,WQ_NIT_NIT,mmol/m^3,71.42857143
Nitrogen_Total_as_N_mg_L,mg/L,WQ_DIAG_TOT_TN,mmol/m^3,71.42857143
Pheophytin_a_mg_m3,mg/m3,Ignore,Ignore,1
Phosphorus_Total_as_P_mg_L,mg/L,WQ_DIAG_TOT_TP,mmol/m^3,32.25806452
Silica_Reactive_mg_L,mg/L,WQ_SIL_RSI,mmol/m^3,35.58718861
Total_Dissolved_Solids_mg_L,mg/L,WQ_DIAG_TOT_TDS,mg/L,1
Total_Organic_Carbon_mg_L,mg/L,WQ_DIAG_TOT_TOC,mmol/m^3,83.333333
Turbidity_NTU,NTU,WQ_DIAG_TOT_TURBIDITY,NTU,1
pH_field,pH units,pH,-,1
Total_Algae_Cell_Count_cells_mL,,Algae_Cells,/mL,1
Chlorophyll_a_mg_m3,mg/m³,WQ_DIAG_PHY_TCHLA,ug/L,1
Chlorophyll_b_mg_m3,mg/m³,Chlorophyll_b,ug/L,1
Dissolved_Organic_Carbon_mg_L,mg/L,WQ_OGM_DOC,mmol/m^3,83.333333
Total_Biovolume_mm3_L,mm3/L,Total_Biovolume,mm3/L,1
