Site,X,Y,Num. Vars,Start Date,End Date,Total Samples at Site
CLLMM_Transect_Coorong,370265.5031,6007366.8660,5,11-09-2012,13-11-2014,15272
CLLMM_Transect_Lower_Lakes,352555.3168,6090350.4660,5,31-03-2011,12-11-2014,46398
CLLMM_Transects_Morella,377472.3518,6000546.1364,5,03-07-2013,11-09-2013,5175
Clayton_1,312259.0000,6068892.0000,20,19-08-2009,19-11-2010,346
Clayton_3A,311417.0000,6069731.0000,26,06-01-2010,21-06-2011,808
Clayton_3B,311152.0000,6069844.0000,20,30-09-2009,19-11-2010,164
Clayton_3C,310934.0000,6069857.0000,20,27-08-2009,19-11-2010,172
Coorong_1_8km_West_Salt_Creek,377597.0000,6000430.0000,15,21-07-2014,15-10-2014,101
Coorong_12_South_Salt_Creek,377597.0000,6000430.0000,15,21-07-2014,15-10-2014,108
Coorong_3_2km_South_Salt_Creek,377597.0000,6000430.0000,15,21-07-2014,15-10-2014,107
Coorong_Bonneys,347969.0000,6037304.0000,14,12-09-2012,10-12-2014,112
Coorong_Boundary_Creek_1,311596.0000,6062368.0000,17,21-09-2010,27-10-2010,38
Coorong_Boundary_Creek_2,311596.0000,6062368.0000,17,08-10-2010,11-04-2013,27
Coorong_Boundary_Creek_3,311596.0000,6062368.0000,17,08-10-2010,27-10-2010,22
Coorong_Boundary_Creek_Tributary_1,311596.0000,6062368.0000,5,11-04-2013,11-04-2013,5
Coorong_Boundary_Creek_Tributary_2,311596.0000,6062368.0000,5,11-04-2013,11-04-2013,5
Coorong_Boundary_Creek_Tributary_3,311596.0000,6062368.0000,5,11-04-2013,11-04-2013,5
Coorong_Boundary_Creek_Tributary_4,311596.0000,6062368.0000,5,11-04-2013,11-04-2013,5
Coorong_Boundary_Creek_Tributary_5,311596.0000,6062368.0000,5,11-04-2013,11-04-2013,5
Coorong_Ewe_Island_Barrage,314880.0000,6062880.0000,15,12-09-2012,10-12-2014,173
Coorong_Ewe_Island_Barrage_Adj_to_NW_end,314659.0000,6062546.0000,14,27-02-2008,23-11-2009,92
