Site,Conductivity,SAL,TEMP,WQ_CAR_DIC,WQ_CAR_PH,WQ_DIAG_TOT_TAL,WQ_DIAG_TOT_TFE,WQ_DIAG_TOT_TKN,WQ_DIAG_TOT_TN,WQ_DIAG_TOT_TOC,WQ_DIAG_TOT_TP,WQ_DIAG_TOT_TSS,WQ_DIAG_TOT_TURBIDITY,WQ_GEO_AL,WQ_GEO_CA,WQ_GEO_CALCITE,WQ_GEO_CL,WQ_GEO_FEII,WQ_GEO_K,WQ_GEO_MG,WQ_GEO_MN,WQ_GEO_NA,WQ_GEO_SO4,WQ_NIT_AMM,WQ_NIT_NIT,WQ_OGM_DOC,WQ_OXY_OXY,WQ_PHS_FRP,WQ_PHY_GRN,WQ_SIL_RSI,
CLLMM_Transect_Coorong,x,x,x, ,x, , , , , , , ,x, , , , , , , , , , , , , , , , , ,
CLLMM_Transect_Lower_Lakes,x,x,x, ,x, , , , , , , ,x, , , , , , , , , , , , , , , , , ,
CLLMM_Transects_Morella,x,x,x, ,x, , , , , , , ,x, , , , , , , , , , , , , , , , , ,
Clayton_1,x, ,x,x,x,x,x, , , , , ,x,x,x, ,x,x,x, ,x,x,x,x,x, ,x,x, ,x,
Clayton_3A,x, ,x,x,x,x,x,x,x,x,x, ,x,x,x, ,x,x,x, ,x,x,x,x,x,x,x,x,x,x,
Clayton_3B,x, ,x,x,x,x,x, , , , , ,x,x,x, ,x,x,x, ,x,x,x,x,x, ,x,x, ,x,
Clayton_3C,x, ,x,x,x,x,x, , , , , ,x,x,x, ,x,x,x, ,x,x,x,x,x, ,x,x, ,x,
Coorong_1_8km_West_Salt_Creek,x, ,x,x,x, , ,x,x, ,x, ,x, , , ,x, , , , , , ,x,x, ,x,x,x,x,
Coorong_12_South_Salt_Creek,x, ,x,x,x, , ,x,x, ,x, ,x, , , ,x, , , , , , ,x,x, ,x,x,x,x,
Coorong_3_2km_South_Salt_Creek,x, ,x,x,x, , ,x,x, ,x, ,x, , , ,x, , , , , , ,x,x, ,x,x,x,x,
Coorong_Bonneys,x, ,x,x,x, , ,x, , ,x, ,x, , , ,x, , , , , , ,x,x, ,x,x,x,x,
Coorong_Boundary_Creek_1,x, ,x,x,x,x,x, , , , , ,x,x,x, ,x,x,x, ,x,x,x, , , ,x, , ,x,
Coorong_Boundary_Creek_2,x, ,x,x,x,x,x, , , , , ,x,x,x, ,x,x,x, ,x,x,x, , , ,x, , ,x,
Coorong_Boundary_Creek_3,x, ,x,x,x,x,x, , , , , ,x,x,x, ,x,x,x, ,x,x,x, , , ,x, , ,x,
Coorong_Boundary_Creek_Tributary_1,x, ,x,x,x, , , , , , , , , , , , , , , , , , , , , ,x, , , ,
Coorong_Boundary_Creek_Tributary_2,x, ,x,x,x, , , , , , , , , , , , , , , , , , , , , ,x, , , ,
Coorong_Boundary_Creek_Tributary_3,x, ,x,x,x, , , , , , , , , , , , , , , , , , , , , ,x, , , ,
Coorong_Boundary_Creek_Tributary_4,x, ,x,x,x, , , , , , , , , , , , , , , , , , , , , ,x, , , ,
Coorong_Boundary_Creek_Tributary_5,x, ,x,x,x, , , , , , , , , , , , , , , , , , , , , ,x, , , ,
Coorong_Ewe_Island_Barrage,x, ,x,x,x, , ,x,x, ,x, ,x, , , ,x, , , , , , ,x,x, ,x,x,x,x,
Coorong_Ewe_Island_Barrage_Adj_to_NW_end,x,x,x,x,x,x,x,x, , ,x, ,x,x, , , ,x, , , , , ,x, , , , ,x, ,
Coorong_Ewe_Island_Barrage_2,x, ,x,x,x, , , , , , , , , , , , , , , , , , , , , ,x, , , ,
Coorong_Ewe_Island_Barrage_3,x, ,x,x,x, , , , , , , , , , , , , , , , , , , , , ,x, , , ,
Coorong_Ewe_Island_Barrage_4,x, ,x,x,x, , , , , , , , , , , , , , , , , , , , , ,x, , , ,
Coorong_Goolwa_Channel_Monument_Rd,x, ,x,x,x,x,x,x, , ,x, ,x,x, , , ,x, , , , , ,x, , , , ,x, ,
Coorong_Jockwar_Road,x, ,x,x,x, , ,x, , ,x, ,x, , , , , , , , , , ,x,x, ,x,x,x,x,
