ISOTIME,LAC_m3_s,sal,temp,trace_1,trace_2,trace_3,trace_4,trace_5,ss1,ret,oxy,rsi,amm,nit,frp,frp_ads,doc,poc,don,pon,dop,pop,grn,mag_ulva,mag_ulva_in,mag_ulva_ip
01/01/2014 00:00,11.57407407,1.549088294,20.31,0,0,100,0,0,62.6277,   NaN,288.3065,67.2713,0.6601,0.3969,0.1306,0.0158,1957.2581,1602.6515,134.7237,134.7237,2.5857,3.2322,310.5376,0,0,0
02/01/2014 00:00,11.57407407,1.560632137,20.08,0,0,100,0,0,61.7129,17150174,288.2712,67.0417,0.6538,0.4055,0.1316,0.0158,1966.2634,1602.6515,134.7237,134.7237,2.5857,3.2322,303.1183,0,0,0
03/01/2014 00:00,0,1.575115729,19.61666667,0,0,100,0,0,60.7982,17334430,288.2359,66.8121,0.6475,0.4142,0.1327,0.0158,1975.2688,1602.6515,134.7237,134.7237,2.5857,3.2322,295.6989,0,0,0
04/01/2014 00:00,0,1.591826084,19.3,0,0,100,0,0,59.8834,17584752,288.2006,66.5825,0.6411,0.4228,0.1337,0.0158,1984.2742,1602.6515,134.7237,134.7237,2.5857,3.2322,288.2796,0,0,0
05/01/2014 00:00,0,1.619663426,18.74,0,0,100,0,0,58.9686,17663408,288.1653,66.3529,0.6348,0.4315,0.1348,0.0158,1993.2796,1602.6515,134.7237,134.7237,2.5857,3.2322,280.8602,0,0,0
06/01/2014 00:00,0,1.642505416,18.22666667,0,0,100,0,0,58.0538,17857322,288.13,66.1233,0.6285,0.4401,0.1358,0.0158,2002.2849,1602.6515,134.7237,134.7237,2.5857,3.2322,273.4409,0,0,0
07/01/2014 00:00,0,1.651363411,17.92666667,0,0,100,0,0,57.139,17992482,288.0948,65.8937,0.6221,0.4487,0.1368,0.0158,2011.2903,1602.6515,134.7237,134.7237,2.5857,3.2322,266.0215,0,0,0
08/01/2014 00:00,9.323231712,1.630583643,18.45666667,0,0,100,0,0,56.2242,17902822,288.0595,65.6641,0.6158,0.4574,0.1379,0.0158,2020.2957,1602.6515,134.7237,134.7237,2.5857,3.2322,258.6022,0,0,0
09/01/2014 00:00,3.686975728,1.583917674,19.59666667,0,0,100,0,0,55.3094,17907950,288.0242,65.4345,0.6094,0.466,0.1389,0.0158,2029.3011,1602.6515,134.7237,134.7237,2.5857,3.2322,251.1828,0,0,0
10/01/2014 00:00,10.63923149,1.534762729,20.70333333,0,0,100,0,0,54.3946,17970808,287.9889,65.2049,0.6031,0.4747,0.14,0.0158,2038.3064,1602.6515,134.7237,134.7237,2.5857,3.2322,243.7634,0,0,0
11/01/2014 00:00,0.254104791,1.492906756,21.31,0,0,100,0,0,53.4798,17999332,287.9536,64.9753,0.5968,0.4833,0.141,0.0158,2047.3118,1602.6515,134.7237,134.7237,2.5857,3.2322,236.3441,0,0,0
12/01/2014 00:00,3.257866861,1.47136006,21.64666667,0,0,100,0,0,52.565,17735512,287.9183,64.7457,0.5904,0.4919,0.142,0.0158,2056.3172,1602.6515,134.7237,134.7237,2.5857,3.2322,228.9247,0,0,0
13/01/2014 00:00,5.260786879,1.433665271,22.31333333,0,0,100,0,0,51.6502,17705770,287.8831,64.5161,0.5841,0.5006,0.1431,0.0158,2065.3226,1602.6515,134.7237,134.7237,2.5857,3.2322,221.5054,0,0,0
14/01/2014 00:00,4.517014654,1.396566093,23.32333333,0,0,100,0,0,50.7355,17686844,287.8478,64.2865,0.5778,0.5092,0.1441,0.0158,2074.3279,1602.6515,134.7237,134.7237,2.5857,3.2322,214.086,0,0,0
15/01/2014 00:00,4.545440645,1.349793018,24.60666667,0,0,100,0,0,49.8207,17785276,287.8125,64.0569,0.5714,0.5179,0.1452,0.0158,2083.3333,1602.6515,134.7237,134.7237,2.5857,3.2322,206.6667,0,0,0
16/01/2014 00:00,4.517014654,1.322763152,25.65333333,0,0,100,0,0,49.5285,17942676,284.3876,64.7457,0.5676,0.5305,0.1475,0.0158,2057.2581,1602.6515,134.7237,134.7237,2.5857,3.2322,210.0806,0,0,0
17/01/2014 00:00,0,1.314809079,25.89666667,0,0,100,0,0,49.2362,17952136,280.9627,65.4345,0.5637,0.5432,0.1498,0.0158,2031.1828,1602.6515,134.7237,134.7237,2.5857,3.2322,213.4946,0,0,0
18/01/2014 00:00,0,1.332411654,24.76333333,0,0,100,0,0,48.944,18379760,277.5378,66.1233,0.5599,0.5559,0.1522,0.0158,2005.1075,1602.6515,134.7237,134.7237,2.5857,3.2322,216.9086,0,0,0
19/01/2014 00:00,0,1.384850314,22.94666667,0,0,100,0,0,48.6518,18585804,274.1129,66.8121,0.5561,0.5685,0.1545,0.0158,1979.0323,1602.6515,134.7237,134.7237,2.5857,3.2322,220.3226,0,0,0
20/01/2014 00:00,0,1.43298263,21.36,0,0,100,0,0,48.3596,18732062,270.688,67.5009,0.5522,0.5812,0.1569,0.0158,1952.957,1602.6515,134.7237,134.7237,2.5857,3.2322,223.7366,0,0,0
21/01/2014 00:00,0,1.473613473,20.63333333,0,0,100,0,0,48.0674,18990968,267.2631,68.1896,0.5484,0.5939,0.1592,0.0158,1926.8817,1602.6515,134.7237,134.7237,2.5857,3.2322,227.1505,0,0,0
22/01/2014 00:00,1.799242769,1.479689914,20.57,0,0,100,0,0,47.7752,19202730,263.8382,68.8784,0.5445,0.6066,0.1616,0.0158,1900.8064,1602.6515,134.7237,134.7237,2.5857,3.2322,230.5645,0,0,0
23/01/2014 00:00,1.770322413,1.473675992,20.87333333,0,0,100,0,0,47.4829,19315360,260.4133,69.5672,0.5407,0.6192,0.1639,0.0158,1874.7312,1602.6515,134.7237,134.7237,2.5857,3.2322,233.9785,0,0,0
24/01/2014 00:00,0,1.464861483,21.02666667,0,0,100,0,0,47.1907,19442516,256.9884,70.256,0.5369,0.6319,0.1662,0.0158,1848.6559,1602.6515,134.7237,134.7237,2.5857,3.2322,237.3925,0,0,0
25/01/2014 00:00,0,1.471619881,20.93333333,0,0,100,0,0,46.8985,19646772,253.5635,70.9448,0.533,0.6446,0.1686,0.0158,1822.5806,1602.6515,134.7237,134.7237,2.5857,3.2322,240.8065,0,0,0
26/01/2014 00:00,2.571688166,1.467483388,21.22,0,0,100,0,0,46.6063,19678970,250.1386,71.6336,0.5292,0.6573,0.1709,0.0158,1796.5054,1602.6515,134.7237,134.7237,2.5857,3.2322,244.2204,0,0,0
27/01/2014 00:00,1.198342045,1.449536711,22.09333333,0,0,100,0,0,46.3141,19820524,246.7137,72.3224,0.5253,0.6699,0.1733,0.0158,1770.4301,1602.6515,134.7237,134.7237,2.5857,3.2322,247.6344,0,0,0
