Date and Time,Wind Speed (m/s),Wind Direction (deg),Site
1/12/2020 17:49,6.97,250.6,Policeman Point Boat Ramp 1
1/12/2020 17:55,13.93,250.5,Policeman Point Boat Ramp 1
1/12/2020 18:00,13.04,250.9,Policeman Point Boat Ramp 1
1/12/2020 18:05,13.2,249.7,Policeman Point Boat Ramp 1
1/12/2020 18:10,11.77,249.6,Policeman Point Boat Ramp 1
1/12/2020 18:15,12.68,250.9,Policeman Point Boat Ramp 1
1/12/2020 18:20,12.27,243.3,Policeman Point Boat Ramp 1
1/12/2020 18:25,11.48,248,Policeman Point Boat Ramp 1
1/12/2020 18:30,12.59,243.7,Policeman Point Boat Ramp 1
1/12/2020 18:40,12.79,246.4,Policeman Point Boat Ramp 1
1/12/2020 18:45,12.07,248.3,Policeman Point Boat Ramp 1
1/12/2020 18:50,12.45,244.6,Policeman Point Boat Ramp 1
1/12/2020 18:55,12.67,246,Policeman Point Boat Ramp 1
1/12/2020 19:00,12.06,239.1,Policeman Point Boat Ramp 1
1/12/2020 19:05,10.7,245.8,Policeman Point Boat Ramp 1
1/12/2020 19:10,11.37,245,Policeman Point Boat Ramp 1
1/12/2020 19:15,12.12,250.5,Policeman Point Boat Ramp 1
1/12/2020 19:20,13.44,253.3,Policeman Point Boat Ramp 1
1/12/2020 19:25,12.27,246.7,Policeman Point Boat Ramp 1
1/12/2020 19:30,12.39,244.9,Policeman Point Boat Ramp 1
1/12/2020 19:35,12.03,246.3,Policeman Point Boat Ramp 1
1/12/2020 19:40,11.81,246.5,Policeman Point Boat Ramp 1
1/12/2020 19:45,11.87,249.1,Policeman Point Boat Ramp 1
1/12/2020 19:50,11.62,245.7,Policeman Point Boat Ramp 1
1/12/2020 19:55,11.7,249.8,Policeman Point Boat Ramp 1
1/12/2020 20:00,11.5,249.5,Policeman Point Boat Ramp 1
1/12/2020 20:05,11.08,244.3,Policeman Point Boat Ramp 1
1/12/2020 20:10,11.12,241.3,Policeman Point Boat Ramp 1
1/12/2020 20:15,11.19,241.2,Policeman Point Boat Ramp 1
1/12/2020 20:20,10.5,242.4,Policeman Point Boat Ramp 1
1/12/2020 20:25,11.81,247.9,Policeman Point Boat Ramp 1
1/12/2020 20:30,10.8,246,Policeman Point Boat Ramp 1
1/12/2020 20:40,11.36,245.5,Policeman Point Boat Ramp 1
1/12/2020 20:45,10.94,243,Policeman Point Boat Ramp 1
1/12/2020 20:50,10.71,242.5,Policeman Point Boat Ramp 1
1/12/2020 20:55,10.43,246.2,Policeman Point Boat Ramp 1
