CPS,Indicator,System,Start Time,End Time,Var,Trigger,Extent (km)
Fish diversity (species richness/biodisparity,Salinity,Transect,01-04-2020,01-10-2020,SAL,30.0000,50.0424
Fish diversity (species richness/biodisparity,Salinity,Transect,01-10-2020,01-03-2021,SAL,30.0000,43.9640
Fish diversity (species richness/biodisparity,Salinity,Transect,01-04-2020,01-10-2020,SAL,60.0000,78.0133
Fish diversity (species richness/biodisparity,Salinity,Transect,01-10-2020,01-03-2021,SAL,60.0000,62.3076
Fish diversity (species richness/biodisparity,Salinity,Transect,01-04-2020,01-10-2020,SAL,100.0000,100.9005
Fish diversity (species richness/biodisparity,Salinity,Transect,01-10-2020,01-03-2021,SAL,100.0000,102.1196
Waterbirds (Shorebirds),Salinity,Transect,01-09-2020,01-05-2021,SAL,140.0000,118.5157
Waterbirds (Piscivores),Salinity,Transect,01-09-2020,01-05-2021,SAL,45.0000,57.1906
Waterbirds (Piscivores),Salinity,Transect,01-09-2020,01-05-2021,SAL,100.0000,105.8055
Waterbirds (Piscivores),Salinity,Transect,01-01-2020,01-01-2021,SAL,60.0000,71.5759
