X,Y,Label,Description,Name,Longitude,Latitude
321234,6058552,A4261134,The Coorong at Pelican Point,Pelican Pt,139.0265529,-35.60064313
345913,6038164,A4260572,The Coorong at Robs Point,Robs Pt,139.2950514,-35.78615357
355214,6025721,A4260633,Coorong at Parnka Point,Parnka Pt,139.3955915,-35.90210076
312929,6062353,A4261043,Coorong Channel near Beacon 1 (Ewe Island Shacks),Beacon 1,138.9358032,-35.56485751
333682,6048236,A4261135,The Coorong at Long Point,Long Pt,139.161775,-35.69578087
367468,6013904,A4261209,Coorong near Woods Well,Woods Well,139.5293656,-36.01034507
374735,6003080,A4261165,The Coorong NW Snipe Island,Snipe Is,139.6082643,-36.10886537
301450,6066315,A4260525,Goolwa Channel at Goolwa Barrage (Recorder),Goolwa Channel,138.81020,-35.52691
318900,6059900,A4261048,Tauwitchere Channel at Tauwitchere Barrage,Tauwitchere Channel,139.00111,-35.58806
369972,6013904,A4261209S,Shallow Coorong near Woods Well,Woods Well,139.5571431,-36.01034507
334538,6048236,A4261135S,Shallow Coorong at Long Point,Long Pt,139.1712316,-35.69578087
