n_zones = 31    ! check match to TFV material zones

Fsed_oxy = -90.0000,-90.0000,-90.0000,-90.0000,-90.0000,-90.0000,-90.0000,-90.0000,-90.0000,-90.0000,-90.0000,-90.0000,-90.0000,-90.0000,-90.0000,-90.0000,-90.0000,-90.0000,-60.0000,-60.0000,-60.0000,-30.0000,-30.0000,-30.0000,-30.0000,-30.0000,-30.0000,-30.0000,-30.0000,-30.0000,-30.0000
Fsed_rsi = -1.0e+10,-1.0e+10,-1.0e+10,-1.0e+10,-1.0e+10,-1.0e+10,-1.0e+10,-1.0e+10,-1.0e+10,-1.0e+10,-1.0e+10,-1.0e+10,-1.0e+10,-1.0e+10,-1.0e+10,-1.0e+10,-1.0e+10,-1.0e+10,-1.0e+10,-1.0e+10,-1.0e+10,-1.0e+10,-1.0e+10,-1.0e+10,-1.0e+10,-1.0e+10,-1.0e+10,-1.0e+10,-1.0e+10,-1.0e+10,-1.0e+10
Fsed_amm = 18.0000,18.0000,18.0000,18.0000,18.0000,18.0000,18.0000,18.0000,18.0000,18.0000,18.0000,18.0000,15.0000,15.0000,15.0000,15.0000,15.0000,15.0000,12.0000,12.0000,12.0000,9.0000,9.0000,9.0000,9.0000,9.0000,9.0000,9.0000,9.0000,9.0000,9.0000
Fsed_nit = 0.0050,0.0050,0.0050,0.0050,0.0050,0.0050,0.0050,0.0050,0.0050,0.0050,0.0050,0.0050,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Fsed_frp = 0.7500,0.7500,0.7500,0.7500,0.7500,0.7500,0.7500,0.7500,0.7500,0.7500,0.7500,0.7500,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.2000,0.2000,0.2000,0.1000,0.1000,0.1000,0.1000,0.1000,0.1000,0.1000,0.1000,0.1000,0.1000
Fsed_pon = 0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Fsed_don = 0.4000,0.4000,0.4000,0.4000,0.4000,0.4000,0.4000,0.4000,0.4000,0.4000,0.4000,0.4000,0.1000,0.1000,0.1000,0.1000,0.1000,0.1000,-0.2000,-0.2000,-0.2000,-0.4000,-0.4000,-0.4000,-0.4000,-0.4000,-0.4000,-0.4000,-0.4000,-0.4000,-0.4000
Fsed_pop = 0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Fsed_dop = -0.0120,-0.0120,-0.0120,-0.0120,-0.0120,-0.0120,-0.0120,-0.0120,-0.0120,-0.0120,-0.0120,-0.0120,-0.0050,-0.0050,-0.0050,-0.0050,-0.0050,-0.0050,-0.0100,-0.0100,-0.0100,-0.0120,-0.0120,-0.0120,-0.0120,-0.0120,-0.0120,-0.0120,-0.0120,-0.0120,-0.0120
Fsed_poc = 0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Fsed_doc = 0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Fsed_dic = 0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
