ID,WL,U,V,SAL_2013,TEMP,SAL
1,0.299332957,0,0,16.81743519,16.66860346,16.81743519
2,0.303111701,0,0,16.62543043,16.68561532,16.62543043
3,0.299793144,0,0,16.8086259,16.6696549,16.8086259
4,0.307452406,0,0,16.47110433,16.70048757,16.47110433
5,0.303522766,0,0,16.616993,16.68711813,16.616993
6,0.301591851,0,0,16.757264,16.674319,16.757264
7,0.307735043,0,0,16.46736128,16.70219905,16.46736128
8,0.306499475,0,0,16.54524783,16.69410152,16.54524783
9,0.311453165,0,0,16.38585576,16.71088721,16.38585576
10,0.359783186,0,0,12.730134,16.84920225,12.730134
11,0.354928288,0,0,12.571024,16.85739213,12.571024
12,0.358288081,0,0,12.65553964,16.871934,12.65553964
13,0.357525462,0,0,12.55650912,16.89811412,12.55650912
14,0.353852833,0,0,12.49226956,16.88003767,12.49226956
15,0.358994509,0,0,12.46583133,16.9314644,12.46583133
16,0.354625859,0,0,12.41940614,16.90846414,12.41940614
17,0.377891381,0,0,13.4932722,16.8284024,13.4932722
18,0.376069333,0,0,13.67695684,16.85936323,13.67695684
19,0.376121588,0,0,13.48362917,16.82526646,13.48362917
20,0.380858348,0,0,13.86538559,16.9208585,13.86538559
21,0.373378975,0,0,13.62351597,16.85412353,13.62351597
22,0.371280118,0,0,13.4885732,16.82628629,13.4885732
23,0.377976196,0,0,13.7675544,16.90208393,13.7675544
24,0.370218052,0,0,13.58250013,16.84920704,13.58250013
25,0.374282591,0,0,13.68321974,16.88251426,13.68321974
26,0.39344177,0,0,13.8834951,17.05544964,13.8834951
27,0.395346009,0,0,13.64824789,17.1690915,13.64824789
28,0.397731928,0,0,13.77597073,17.0816562,13.77597073
29,0.391519816,0,0,13.55273924,17.2156305,13.55273924
30,0.398568855,0,0,13.53091486,17.18193326,13.53091486
31,0.401951449,0,0,13.66942577,17.11219432,13.66942577
32,0.394821312,0,0,13.32239878,17.23859033,13.32239878
33,0.401546099,0,0,13.47107516,17.18627109,13.47107516
34,0.398617298,0,0,13.26106442,17.24054365,13.26106442
35,0.322419793,0,0,35,16.72082415,35
36,0.319664638,0,0,35,16.709336,35
37,0.324554496,0,0,35,16.7241547,35
38,0.305300715,0,0,35,16.6270385,35
39,0.304668089,0,0,35,16.61786425,35
40,0.303830811,0,0,35,16.61093333,35
41,0.313873836,0,0,35,16.68201683,35
42,0.316779935,0,0,35,16.69621685,35
43,0.321928041,0,0,35,16.71231732,35
44,0.327106746,0,0,35,16.72991341,35
45,0.306622876,0,0,35,16.63576692,35
46,0.307107578,0,0,35,16.617877,35
47,0.305884504,0,0,35,16.60814,35
48,0.304774904,0,0,35,16.59851378,35
49,0.379125808,0,0,35,16.88338393,35
50,0.307961923,0,0,35,16.64699075,35
51,0.311402191,0,0,35,16.66816544,35
52,0.316098124,0,0,35,16.68227065,35
53,0.319213309,0,0,35,16.6986667,35
54,0.324816794,0,0,35,16.71878595,35
55,0.33023055,0,0,35,16.73860536,35
56,0.308669545,0,0,35,16.63014175,35
57,0.298394518,0,0,17.11830525,16.64365575,17.11830525
58,0.297107218,0,0,17.135334,16.64208275,17.135334
59,0.308480525,0,0,35,16.61588145,35
60,0.306583428,0,0,35,16.6037891,35
61,0.304997533,0,0,35,16.59375313,35
62,0.378762744,0,0,35,16.87169959,35
63,0.379945521,0,0,35,16.88561707,35
64,0.309630783,0,0,35,16.6571819,35
65,0.310216916,0,0,35,16.64272455,35
66,0.313752226,0,0,35,16.66731431,35
67,0.318840776,0,0,35,16.68690159,35
68,0.322021009,0,0,35,16.70465729,35
69,0.328008447,0,0,35,16.72801355,35
70,0.3335735,0,0,35,16.74876987,35
71,0.310552939,0,0,35,16.62992769,35
72,0.297659857,0,0,17.14395767,16.64150767,17.14395767
73,0.300458358,0,0,17.20804367,16.63645367,17.20804367
74,0.299354757,0,0,17.25943327,16.63231791,17.25943327
75,0.302701313,0,0,17.33612964,16.62626555,17.33612964
76,0.298214008,0,0,17.30682273,16.62841064,17.30682273
77,0.310810119,0,0,35,16.624183,35
78,0.308647984,0,0,35,16.611503,35
79,0.306336917,0,0,35,16.59893422,35
80,0.37843757,0,0,35,16.8611815,35
81,0.379649599,0,0,35,16.87213038,35
82,0.380791601,0,0,35,16.88785848,35
83,0.311831543,0,0,35,16.65450292,35
84,0.312560435,0,0,35,16.64423482,35
85,0.316428775,0,0,35,16.67111362,35
86,0.322214628,0,0,35,16.69707057,35
87,0.325271492,0,0,35,16.71410545,35
88,0.331711739,0,0,35,16.74019283,35
89,0.337227874,0,0,35,16.76062814,35
90,0.313280723,0,0,35,16.63931375,35
91,0.381668496,0,0,35,16.89054493,35
92,0.298497704,0,0,17.28202586,16.630464,17.28202586
93,0.301584751,0,0,17.46406888,16.61621241,17.46406888
94,0.304261294,0,0,17.510545,16.612627,17.510545
95,0.300952949,0,0,17.5591367,16.6086938,17.5591367
96,0.314704614,0,0,35,16.64359511,35
97,0.312845316,0,0,35,16.632992,35
98,0.310734574,0,0,35,16.621366,35
99,0.378071323,0,0,35,16.85139836,35
100,0.379306972,0,0,35,16.85968893,35
101,0.380549315,0,0,35,16.87332748,35
102,0.314409856,0,0,35,16.657707,35
103,0.31543265,0,0,35,16.65362392,35
104,0.31997021,0,0,35,16.68237793,35
105,0.326155368,0,0,35,16.71215286,35
106,0.329075579,0,0,35,16.72758557,35
107,0.335845391,0,0,35,16.75491579,35
108,0.341082094,0,0,35,16.77302948,35
109,0.317144317,0,0,35,16.65705967,35
110,0.317508673,0,0,35,16.66009064,35
111,0.32099995,0,0,35,16.67818629,35
112,0.320050987,0,0,35,16.67291083,35
113,0.381427765,0,0,35,16.87378293,35
114,0.382397579,0,0,35,16.89273995,35
115,0.301189713,0,0,17.544399,16.60991075,17.544399
116,0.303164683,0,0,17.59836686,16.60580286,17.59836686
117,0.304278203,0,0,17.69035817,16.59874383,17.69035817
