CPS,Indicator,System,Start Time,End Time,Var,Trigger,Extent (km)
Fish diversity (species richness/biodisparity,Salinity,Transect,01-04-2020,01-10-2020,SAL,30.0000,67.2176
Fish diversity (species richness/biodisparity,Salinity,Transect,01-10-2020,01-03-2021,SAL,30.0000,51.8733
Fish diversity (species richness/biodisparity,Salinity,Transect,01-04-2020,01-10-2020,SAL,60.0000,80.1697
Fish diversity (species richness/biodisparity,Salinity,Transect,01-10-2020,01-03-2021,SAL,60.0000,71.6909
Fish diversity (species richness/biodisparity,Salinity,Transect,01-04-2020,01-10-2020,SAL,100.0000,111.8377
Fish diversity (species richness/biodisparity,Salinity,Transect,01-10-2020,01-03-2021,SAL,100.0000,113.8664
Waterbirds (Shorebirds),Salinity,Transect,01-09-2020,01-05-2021,SAL,140.0000,118.8316
Waterbirds (Piscivores),Salinity,Transect,01-09-2020,01-05-2021,SAL,45.0000,67.1883
Waterbirds (Piscivores),Salinity,Transect,01-09-2020,01-05-2021,SAL,100.0000,115.4228
Waterbirds (Piscivores),Salinity,Transect,01-01-2020,01-01-2021,SAL,60.0000,75.8522
