CPS,Indicator,System,Start Time,End Time,Var,Trigger,Area (Ha),Total Area (Ha)
Waterbirds (Shorebirds),Water depth,System-Wide,01-09-2020,01-04-2021,D,0.1000,2576.6730,21352.29102
Waterbirds (Shorebirds),Water depth,System-Wide,01-09-2020,01-04-2021,D,0.2000,3360.0543,21352.29102
Trophic status (threat: eutrophication),Dissolved oxygen,CNL,01-04-2020,01-10-2020,WQ_OXY_OXY,6.5000,7931.8844,8360.11035
Trophic status (threat: eutrophication),Dissolved oxygen,CNL,01-10-2020,01-04-2021,WQ_OXY_OXY,6.5000,5600.3166,8360.11035
Trophic status (threat: eutrophication),Dissolved oxygen,ME,01-04-2020,01-10-2020,WQ_OXY_OXY,6.5000,1923.8466,1975.27563
Trophic status (threat: eutrophication),Dissolved oxygen,ME,01-10-2020,01-04-2021,WQ_OXY_OXY,6.5000,1849.8483,1975.27563
Trophic status (threat: eutrophication),Dissolved oxygen,CSL,01-04-2020,01-10-2020,WQ_OXY_OXY,4.0000,10751.6277,11029.88184
Trophic status (threat: eutrophication),Dissolved oxygen,CSL,01-10-2020,01-04-2021,WQ_OXY_OXY,4.0000,9873.2411,11029.88184
