FVC file = eWater_basecase_005.fvc, Simulation Execution: 06/01/2023 19:00:54
Cell Coordinates and properties applied to model,X,Y,ZB,MATID,Area,ID
, 0.30193864659134E+06, 0.60649985446424E+07, -0.3337000E+01,         104,  0.4180269E+04,           1
, 0.30191480114229E+06, 0.60649561951896E+07, -0.3692000E+01,         104,  0.4460695E+04,           2
, 0.30188967102584E+06, 0.60649115636684E+07, -0.4061000E+01,         104,  0.4762678E+04,           3
, 0.30203530248447E+06, 0.60649665525523E+07, -0.3347000E+01,         104,  0.5319995E+04,           4
, 0.30201214185579E+06, 0.60649235543660E+07, -0.3687000E+01,         104,  0.5642746E+04,           5
, 0.30195919906535E+06, 0.60650349217476E+07, -0.3009000E+01,         104,  0.3159937E+04,           6
, 0.30183528413524E+06, 0.60648149653844E+07, -0.4842000E+01,         104,  0.5436071E+04,           7
, 0.30180587805686E+06, 0.60647627354460E+07, -0.5260000E+01,         104,  0.5812561E+04,           8
, 0.30186319205249E+06, 0.60648645274218E+07, -0.4439000E+01,         104,  0.5086786E+04,           9
, 0.30198772968259E+06, 0.60648782425255E+07, -0.4071000E+01,         104,  0.5985384E+04,          10
, 0.30215033926076E+06, 0.60649249027480E+07, -0.3331000E+01,         104,  0.6228483E+04,          11
, 0.30212756433980E+06, 0.60648814563186E+07, -0.3681000E+01,         104,  0.6585396E+04,          12
, 0.30205536836960E+06, 0.60650036900741E+07, -0.3023000E+01,         104,  0.4096397E+04,          13
, 0.30197689775582E+06, 0.60650664658480E+07, -0.2743000E+01,         104,  0.3126201E+04,          14
, 0.30201229070920E+06, 0.60651295339212E+07, -0.2224000E+01,         104,  0.3058829E+04,          15
, 0.30199459665552E+06, 0.60650980016506E+07, -0.2486000E+01,         104,  0.3092052E+04,          16
, 0.30177488548037E+06, 0.60647076946288E+07, -0.5701000E+01,         104,  0.6219359E+04,          17
, 0.30193489451483E+06, 0.60647801574375E+07, -0.4824000E+01,         104,  0.6742574E+04,          18
, 0.30190631965210E+06, 0.60647271187964E+07, -0.5256000E+01,         104,  0.7160765E+04,          19
, 0.30196200665020E+06, 0.60648304859370E+07, -0.4428000E+01,         104,  0.6352725E+04,          20
, 0.30210356110363E+06, 0.60648356665164E+07, -0.4064000E+01,         104,  0.6961465E+04,          21
, 0.30228343752357E+06, 0.60648726030273E+07, -0.3410000E+01,         104,  0.7378602E+04,          22
, 0.30226076643477E+06, 0.60648289216207E+07, -0.3713000E+01,         104,  0.7779365E+04,          23
, 0.30217016890124E+06, 0.60649626660818E+07, -0.3006000E+01,         104,  0.4879808E+04,          24
, 0.30207268246282E+06, 0.60650361646526E+07, -0.2752000E+01,         104,  0.4070948E+04,          25
, 0.30210730342543E+06, 0.60651010703748E+07, -0.2227000E+01,         104,  0.4020893E+04,          26
, 0.30208999372703E+06, 0.60650686241862E+07, -0.2493000E+01,         104,  0.4045620E+04,          27
, 0.30202998415085E+06, 0.60651610628564E+07, -0.1920000E+01,         104,  0.3025311E+04,          28
, 0.30170780909334E+06, 0.60645885612418E+07, -0.6647000E+01,         104,  0.7130949E+04,          29
, 0.30167153666799E+06, 0.60645241430215E+07, -0.7240000E+01,         104,  0.7642056E+04,          30
, 0.30174222546751E+06, 0.60646496903353E+07, -0.6162000E+01,         104,  0.6657040E+04,          31
, 0.30187620436172E+06, 0.60646712168161E+07, -0.5714000E+01,         104,  0.7606828E+04,          32
, 0.30205159038693E+06, 0.60647365269795E+07, -0.4802000E+01,         104,  0.7787995E+04,          33
, 0.30202347909722E+06, 0.60646829039245E+07, -0.5229000E+01,         104,  0.8240465E+04,          34
, 0.30207826009235E+06, 0.60647874017468E+07, -0.4424000E+01,         104,  0.7364213E+04,          35
, 0.30223686743677E+06, 0.60647828719206E+07, -0.4025000E+01,         104,  0.8200533E+04,          36
, 0.30242677429995E+06, 0.60648140004771E+07, -0.3386000E+01,         104,  0.7419361E+04,          37
, 0.30240403894462E+06, 0.60647702108274E+07, -0.3672000E+01,         104,  0.7822848E+04,          38
, 0.30230330493390E+06, 0.60649108408112E+07, -0.3199000E+01,         104,  0.5890938E+04,          39
, 0.30218733207246E+06, 0.60649960006466E+07, -0.2729000E+01,         104,  0.4860738E+04,          40
, 0.30222164760967E+06, 0.60650626112309E+07, -0.2187000E+01,         104,  0.4824525E+04,          41
, 0.30220449584182E+06, 0.60650293131198E+07, -0.2460000E+01,         104,  0.4842952E+04,          42
, 0.30212460665055E+06, 0.60651335065666E+07, -0.1912000E+01,         104,  0.3995860E+04,          43
, 0.30204767763778E+06, 0.60651925818856E+07, -0.1524000E+01,         104,  0.2991193E+04,          44
, 0.30163331147885E+06, 0.60644562562419E+07, -0.8018000E+01,         104,  0.8195914E+04,          45
, 0.30181100947315E+06, 0.60645502041557E+07, -0.6705000E+01,         104,  0.8595240E+04,          46
, 0.30177574832406E+06, 0.60644847534413E+07, -0.7330000E+01,         104,  0.9140375E+04,          47
, 0.30184446475902E+06, 0.60646123015176E+07, -0.6190000E+01,         104,  0.8083425E+04,          48
, 0.30199384580246E+06, 0.60646263758817E+07, -0.5700000E+01,         104,  0.8720524E+04,          49
, 0.30218510256514E+06, 0.60646831415351E+07, -0.4733000E+01,         104,  0.9115965E+04,          50
, 0.30215708926573E+06, 0.60646291791204E+07, -0.5114000E+01,         104,  0.9611699E+04,          51
, 0.30221166468413E+06, 0.60647343276887E+07, -0.4388000E+01,         104,  0.8646480E+04,          52
, 0.30238007076053E+06, 0.60647240307058E+07, -0.3976000E+01,         104,  0.8249484E+04,          53
, 0.30257002549447E+06, 0.60647551001021E+07, -0.3345000E+01,         104,  0.7417287E+04,          54
, 0.30254724057220E+06, 0.60647112016272E+07, -0.3630000E+01,         104,  0.7823581E+04,          55
, 0.30244677673507E+06, 0.60648526441257E+07, -0.3151000E+01,         104,  0.6022903E+04,          56
, 0.30232055895311E+06, 0.60649449431486E+07, -0.2882000E+01,         104,  0.5882227E+04,          57
, 0.30235505018212E+06, 0.60650130966942E+07, -0.2167000E+01,         104,  0.5866694E+04,          58
, 0.30233780524606E+06, 0.60649790293228E+07, -0.2539000E+01,         104,  0.5875594E+04,          59
, 0.30223879324242E+06, 0.60650958923271E+07, -0.1853000E+01,         104,  0.4806928E+04,          60
, 0.30214190741449E+06, 0.60651659260636E+07, -0.1493000E+01,         104,  0.3969826E+04,          61
, 0.30206537051183E+06, 0.60652240957962E+07, -0.1103000E+01,         104,  0.2958852E+04,          62
, 0.30155057383933E+06, 0.60643093150585E+07, -0.9602000E+01,         104,  0.9443272E+04,          63
, 0.30150583261469E+06, 0.60642298505281E+07, -0.1048000E+02,         104,  0.1014579E+05,          64
, 0.30159302717537E+06, 0.60643847140509E+07, -0.8845000E+01,         104,  0.8793931E+04,          65
, 0.30173858310186E+06, 0.60644157693596E+07, -0.8111000E+01,         104,  0.9726413E+04,          66
, 0.30192967444524E+06, 0.60645039779567E+07, -0.6728000E+01,         104,  0.9772008E+04,          67
