Var,1,2,3,4,5,6,7,8,9,10,11,12
SAL,24.6157,29.0157,36.28,32.5266,26.3234,32.0204,0,45.4715,64.2004,0,93.1094,47.551
TEMP,21.6215,21.0521,20.62,20.864,21.3652,21.0391,0,19.145,20.2237,0,20.9298,20.8299
TRACE_1,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
WQ_TRC_AGE,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
WQ_NCS_SS1,15.1931,0,10.6324,14.8462,12.7504,13.7908,0,18.8788,21.8523,0,20.8647,15.8942
WQ_OXY_OXY,249.1116,159.933,228.375,206.9847,244.0391,221.9531,0,193.5156,226.0156,0,160.3125,158.5521
WQ_SIL_RSI,68.2088,0,26.7349,103.2028,152.9359,0,0,0,128.5714,0,0,0
WQ_NIT_AMM,1.2024,Unknown,0.3571,1.5714,0.3929,0,0,0,0.3571,0,0,0
WQ_NIT_NIT,0.2738,Unknown,0.2143,1.25,0.2143,0,0,0,0.2143,0,0,0
WQ_PHS_FRP,0.1828,Unknown,0.4355,0.4355,0.1452,0,0,0,0.1613,0,0,0
WQ_PHS_FRP_ADS,0.0183,Unknown,0.0435,0.0435,0.0145,0,0,0,0.0161,0,0,0
WQ_OGM_DOC,716.6667,Unknown,0,0,0,0,0,0,0,0,0,0
WQ_OGM_POC,718.1171,Unknown,0,0,0,0,0,0,0,0,0,0
WQ_OGM_DON,50.1797,Unknown,0,0,0,0,0,0,0,0,0,60.2083
WQ_OGM_PON,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,60.2083
WQ_OGM_DOP,0.8724,Unknown,0.3677,0.9594,1.1192,0,0,0,3.8888,0,0,0
WQ_OGM_POP,1.0905,Unknown,0.4596,1.1992,1.399,0,0,0,4.861,0,0,0
WQ_PHY_GRN,0,Unknown,24.2292,0,92.9167,0,0,0,112.6482,0,0,0
