Site Code,Bag Code,X,Y,Lat,Lon
9BCDD423-3EF8-493D-97C8-3E951A1A5952,A-21,354148.8427,6031214.4058,-35.8524,139.3848
9BCDD423-3EF8-493D-97C8-3E951A1A5952,A-22,354148.8427,6031214.4058,-35.8524,139.3848
9BCDD423-3EF8-493D-97C8-3E951A1A5952,A-23,354148.8427,6031214.4058,-35.8524,139.3848
9BCDD423-3EF8-493D-97C8-3E951A1A5952,A-24,354148.8427,6031214.4058,-35.8524,139.3848
9BCDD423-3EF8-493D-97C8-3E951A1A5952,A-25,354148.8427,6031214.4058,-35.8524,139.3848
9BCDD423-3EF8-493D-97C8-3E951A1A5952,A-26,354148.8427,6031214.4058,-35.8524,139.3848
9BCDD423-3EF8-493D-97C8-3E951A1A5952,A-27,354148.8427,6031214.4058,-35.8524,139.3848
9BCDD423-3EF8-493D-97C8-3E951A1A5952,A-28,354148.8427,6031214.4058,-35.8524,139.3848
9BCDD423-3EF8-493D-97C8-3E951A1A5952,A-30,354148.8427,6031214.4058,-35.8524,139.3848
9BCDD423-3EF8-493D-97C8-3E951A1A5952,A-29,354148.8427,6031214.4058,-35.8524,139.3848
9BCDD423-3EF8-493D-97C8-3E951A1A5952,A-32,354148.8427,6031214.4058,-35.8524,139.3848
9BCDD423-3EF8-493D-97C8-3E951A1A5952,A-33,354148.8427,6031214.4058,-35.8524,139.3848
9BCDD423-3EF8-493D-97C8-3E951A1A5952,A-34,354148.8427,6031214.4058,-35.8524,139.3848
9BCDD423-3EF8-493D-97C8-3E951A1A5952,A-35,354148.8427,6031214.4058,-35.8524,139.3848
9BCDD423-3EF8-493D-97C8-3E951A1A5952,A-36,354148.8427,6031214.4058,-35.8524,139.3848
C7D81586-A409-4A74-B156-2BDA90A2BBDB,A-2,352873.7171,6030813.4487,-35.8559,139.3706
C7D81586-A409-4A74-B156-2BDA90A2BBDB,A-3,352873.7171,6030813.4487,-35.8559,139.3706
C7D81586-A409-4A74-B156-2BDA90A2BBDB,A-4,352873.7171,6030813.4487,-35.8559,139.3706
C7D81586-A409-4A74-B156-2BDA90A2BBDB,A-5,352873.7171,6030813.4487,-35.8559,139.3706
C7D81586-A409-4A74-B156-2BDA90A2BBDB,A-6,352873.7171,6030813.4487,-35.8559,139.3706
C7D81586-A409-4A74-B156-2BDA90A2BBDB,A-7,352873.7171,6030813.4487,-35.8559,139.3706
C7D81586-A409-4A74-B156-2BDA90A2BBDB,A-13,352873.7171,6030813.4487,-35.8559,139.3706
