CPS,Indicator,System,Start Time,End Time,Var,Trigger,Area (Ha),Total Area (Ha)
Waterbirds (Shorebirds),Water depth,System-Wide,01-09-2020,01-04-2021,D,0.1000,2982.4706,21352.29102
Waterbirds (Shorebirds),Water depth,System-Wide,01-09-2020,01-04-2021,D,0.2000,3817.2484,21352.29102
Trophic status (threat: eutrophication),Dissolved oxygen,CNL,01-04-2020,01-10-2020,WQ_OXY_OXY,6.5000,6661.5814,8360.11035
Trophic status (threat: eutrophication),Dissolved oxygen,CNL,01-10-2020,01-04-2021,WQ_OXY_OXY,6.5000,3146.7084,8360.11035
Trophic status (threat: eutrophication),Dissolved oxygen,ME,01-04-2020,01-10-2020,WQ_OXY_OXY,6.5000,1906.5354,1975.27563
Trophic status (threat: eutrophication),Dissolved oxygen,ME,01-10-2020,01-04-2021,WQ_OXY_OXY,6.5000,1759.3417,1975.27563
Trophic status (threat: eutrophication),Dissolved oxygen,CSL,01-04-2020,01-10-2020,WQ_OXY_OXY,4.0000,10285.6182,11029.88184
Trophic status (threat: eutrophication),Dissolved oxygen,CSL,01-10-2020,01-04-2021,WQ_OXY_OXY,4.0000,5707.0358,11029.88184
