Site_ID,Data_Type,Data_Supplier,Date,Easting,Northing,Total_Dissolved_Solids_mg_L,Turbidity_NTU,Alkalinity_as_Calcium_Carbonate_mg_L,Chloride_mg_L,Silica_Reactive_mg_L,Ammonia_as_N_mg_L,Nitrate_Nitrite_as_N_mg_L,Nitrogen_Total_as_N_mg_L,Phosphorus_Total_as_P_mg_L,pH_field,Dissolved_Organic_Carbon_mg_L,Total_Organic_Carbon_mg_L,Chlorophyll_a_mg_m3,Chlorophyll_b_mg_m3,Pheophytin_a_mg_m3,Total_Algae_Cell_Count_cells_mL,Total_Biovolume_mm3_L
1.8km west of Salt Creek,Laboratory,AWQC,22/01/2020,375882,6000470,116000,17,226,53400,5,0.026,0.004,1.92,0.24,8,28.1,37.3,79.7,,13.9,,
1.8km west of Salt Creek,Laboratory,AWQC,18/02/2020,375882,6000470,122000,16,213,57800,4.89,0.061,0.001,5.87,0.277,7.9,26,37,81.5,,12.6,,
1.8km west of Salt Creek,Laboratory,AWQC,17/03/2020,375882,6000470,128000,13,225,68800,4.97,0.082,0.003,6.18,0.157,7.9,26.6,35.9,73.9,,17.1,,
1.8km west of Salt Creek,Laboratory,AWQC,15/04/2020,375882,6000470,138000,12,230,66100,4.47,0.101,0.005,5.91,0.107,7.8,28.2,36.6,58.5,,7.19,,
1.8km west of Salt Creek,Laboratory,AWQC,12/05/2020,375882,6000470,110000,9.4,212,55800,2.27,0.019,0.003,5.46,0.249,7.9,24.3,31.2,31.7,,9.34,,
1.8km west of Salt Creek,Laboratory,AWQC,11/06/2020,375882,6000470,97400,7.3,206,49700,1.91,0.017,0.004,4.46,0.201,7.9,23.1,27.3,38.5,,11.5,,
1.8km west of Salt Creek,Laboratory,AWQC,24/06/2020,375882,6000470,98900,6.7,205,42800,1.57,0.023,0.005,4.6,0.148,8,22.8,27.8,40.8,,13.3,,
1.8km west of Salt Creek,Laboratory,ALS,7/07/2020,375882,6000470,88900,7.6,216,,0.76,0.02,<0.01,4.1,2.38,8.4,31,37,14,<1,3,806593,
1.8km west of Salt Creek,Laboratory,ALS,22/07/2020,375882,6000470,80100,9.9,225,49000,1,<0.02,<0.01,4.4,1.84,8.53,26,34,11,<1,5,1202253,
1.8km west of Salt Creek,Laboratory,ALS,5/08/2020,375882,6000470,92900,8.6,223,49900,1.04,<0.02,<0.01,4.1,1.92,8.64,28,35,11,<1,5,1723351,28.76
1.8km west of Salt Creek,Laboratory,ALS,26/08/2020,375882,6000470,78000,8.3,249,48000,0.52,<0.02,<0.01,3.7,1.01,8.64,31,37,15,<1,1,2201522,41.91
1.8km west of Salt Creek,Laboratory,ALS,9/09/2020,375882,6000470,84200,9.2,211,48600,0.31,<0.02,<0.01,3.6,1.84,8.61,29,37,13,<1,4,527042,18.06
1.8km west of Salt Creek,Laboratory,ALS,30/09/2020,375882,6000470,86700,9,216,49300,0.13,<0.02,<0.01,3.8,1.66,8.6,,36,12,<1,3,1203806,23.37
1.8km west of Salt Creek,Laboratory,ALS,21/10/2020,375882,6000470,81700,8.3,239,42800,0.7,<0.02,<0.01,4.3,1.82,8.57,29,34,9,<1,2,848813,17.43
1.8km west of Salt Creek,Laboratory,ALS,17/11/2020,375882,6000470,77700,11.2,238,48600,0.33,<0.02,<0.01,3.9,2.8,8.18,30,38,12,2,4,806455,13.36
1.8km west of Salt Creek,Laboratory,ALS,1/12/2020,375882,6000470,89700,11.9,237,51200,0.91,<0.02,<0.01,5.2,1.06,8.13,30,40,16,3,14,404322,29.85
1.8km west of Salt Creek,Laboratory,ALS,3/02/2021,375882,6000470,96000,18.2,236,65800,3.92,<0.02,<0.01,13.4,1.59,7.99,40,50,27,<2,6,640970,60.72
1.8km west of Salt Creek,Laboratory,ALS,24/02/2021,375882,6000470,100000,13.8,231,75900,4.76,<0.02,<0.01,2.4,5.41,8.53,40,52,32,<2,12,653797,59.18
1.8km west of Salt Creek,Laboratory,ALS,17/03/2021,375882,6000470,106000,13.9,228,68800,4.87,<0.02,<0.01,3.9,0.28,8.62,46,58,31,3,10,234527,44.48
1.8km west of Salt Creek,Laboratory,ALS,7/04/2021,375882,6000470,134000,15.7,230,74400,6.09,<0.02,<0.01,4,4.4,8.6,49,53,24,1,<1,391019,30.08
1.8km west of Salt Creek,Laboratory,ALS,12/05/2021,375882,6000470,113000,10.2,226,61200,3.21,<0.02,0.02,3.2,5.13,8.41,46,51,17,<1,6,568465,22.3
1.8km west of Salt Creek,Laboratory,ALS,21/06/2021,375882,6000470,104000,7.4,200,61600,1.76,<0.02,0.02,3.1,0.26,7.49,34,40,21,<1,6,721638,20.72
1.8km west of Salt Creek,Laboratory,ALS,28/06/2021,375882,6000470,88200,8.8,206,54700,1.71,<0.02,<0.01,1.2,4.4,7.4,30,34,16,<2,10,2743303,29.27
1.8km west of Salt Creek,Laboratory,ALS,13/07/2021,375882,6000470,102000,5.9,221,46200,1.14,<0.02,<0.01,2.4,0.24,7.42,31,36,8,<1,<1,1176706,26.26
1.8km west of Salt Creek,Laboratory,ALS,9/08/2021,375882,6000470,73400,20.4,200,48000,1.38,<0.02,0.01,3.6,0.27,8.73,25,30,12,1,5,870572,7.68
1.8km west of Salt Creek,Laboratory,ALS,24/08/2021,375882,6000470,74400,8.3,232,42400,1.48,<0.02,<0.01,1.4,0.36,7.63,25,31,9,1,3,1082651,9.86
1.8km west of Salt Creek,Laboratory,ALS,8/09/2021,375882,6000470,67000,8.6,248,35600,2.9,<0.02,<0.01,1.6,0.5,7.42,22,26,,,,1445722,11.61
1.8km west of Salt Creek,Laboratory,ALS,22/09/2021,375882,6000470,64700,8.2,247,36400,2.07,<0.02,<0.01,2.9,0.92,7.9,23,26,9,1,4,1127929,7
1.8km west of Salt Creek,Laboratory,ALS,26/10/2021,375882,6000470,66300,9,238,38500,1.4,0.08,0.01,1.4,0.62,8.62,25,30,6,<1,2,2360916,21.96
1.8km west of Salt Creek,Laboratory,ALS,16/11/2021,375882,6000470,68200,13.8,231,31100,2.37,<0.02,0.03,4.1,0.48,7.79,29,37,15,<1,6,407140,9.77
1.8km west of Salt Creek,Laboratory,ALS,14/12/2021,375882,6000470,70100,18,206,37600,3.91,<0.02,<0.01,3.7,2.11,8.13,33,46,21,2,5,1797822,46.3
1.8km west of Salt Creek,Laboratory,ALS,20/01/2022,375882,6000470,102000,23,210,45100,5.73,<0.02,<0.01,4.4,2.58,11.21,40,59,24,4,28,3277981,104.39
1.8km west of Salt Creek,Laboratory,ALS,22/02/2022,375882,6000470,118000,27,246,57300,7.93,<0.02,<0.01,3.9,1.78,9.9,42,59,72,7,74,701752,36.7
1.8km west of Salt Creek,Laboratory,ALS,16/03/2022,375882,6000470,123000,25.7,239,51400,8.55,<0.02,<0.01,4.4,3.23,9.46,42,57,84,<2,3,3682326,93.88
1.8km west of Salt Creek,Laboratory,ALS,20/04/2022,375882,6000470,117000,28.1,239,64100,8.52,<0.02,<0.01,4.4,3.22,11.14,44,56,47,<1,15,1015460,50.56
1.8km west of Salt Creek,Laboratory,ALS,19/05/2022,375882,6000470,85800,10.8,224,56100,4.94,<0.02,<0.01,8.8,0.48,7.23,44,50,18,2,15,421679,7.62
1.8km west of Salt Creek,Laboratory,ALS,2/06/2022,375882,6000470,82200,7.5,206,53300,5.29,0.09,0.05,6.2,<0.02,7.56,34,39,16,2,30,507503,9.47
1.8km west of Salt Creek,Laboratory,ALS,21/07/2022,375882,6000470,77600,9.4,187,35500,3.24,<0.02,<0.01,5.7,0.29,,32,36,,,,791518,12.74
1.8km west of Salt Creek,Laboratory,ALS,31/08/2022,375882,6000470,76800,12.7,189,31600,1.34,<0.02,<0.01,3.2,0.15,,28,35,14,2,4,470399,26.19
1.8km west of Salt Creek,Laboratory,ALS,29/09/2022,375882,6000470,65100,12.3,200,37700,0.63,<0.02,<0.01,3.8,0.2,,28,37,11,2,4,476603,6.21
1.8km west of Salt Creek,Laboratory,AWQC,9/11/2022,375882,6000470,66900,6.5,217,34700,1.34,0.049,0.003,3.58,0.09,8.1,20.3,24.1,16.4,,4.57,596000,
1.8km west of Salt Creek,Laboratory,AWQC,24/11/2022,375882,6000470,65800,9.4,217,34600,2.15,0.031,0.002,3.69,0.146,8.1,17.7,24.7,30.3,,11.6,793000,
1.8km west of Salt Creek,Laboratory,AWQC,20/12/2022,375882,6000470,69700,10,214,35400,3.96,0.043,0.004,3.85,0.146,8.2,18.6,24.7,44.8,,13.1,1130000,
1.8km west of Salt Creek,Laboratory,AWQC,20/01/2023,375882,6000470,75800,12,218,32500,5.51,0.054,0.003,4.64,0.234,8.1,22.1,31.4,69.4,,24.1,1240000,
1.8km west of Salt Creek,Laboratory,AWQC,15/02/2023,375882,6000470,78800,11,226,42300,6.25,0.052,0.005,3.34,0.143,8.1,20.9,27.6,66.1,,19.4,1450000,
1.8km west of Salt Creek,Laboratory,AWQC,16/03/2023,375882,6000470,83200,12,236,40700,8.73,0.043,0.008,4.3,0.015,8.1,23.1,31.5,75.9,,25.8,1750000,
1.8km west of Salt Creek,Laboratory,AWQC,13/04/2023,375882,6000470,87500,13,241,46200,6.45,0.025,<0.0005,3.77,0.168,8,23.4,32.5,80.6,,29.4,1700000,
1.8km west of Salt Creek,Laboratory,AWQC,19/05/2023,375882,6000470,74300,8.9,234,40400,7.35,0.016,<0.0005,1.79,<0.005,8.1,21.3,28,56.7,,15.1,1750000,
1.8km west of Salt Creek,Laboratory,AWQC,28/06/2023,375882,6000470,60200,12,213,29800,5.76,5,0.007,4.26,0.076,7.8,20.2,26.5,86.2,,24.7,1310000,
1.8km west of Salt Creek,Laboratory,AWQC,27/07/2023,375882,6000470,46500,9.8,242,23500,7.65,14,0.005,2.71,0.107,8,19.8,25.4,85,,28.2,0,
1.8km west of Salt Creek,Laboratory,AWQC,16/08/2023,375882,6000470,49200,9,237,24500,7.35,17,<0.0005,3.47,<0.005,8.2,20.5,25.8,114,,38,1570000,
1.8km west of Salt Creek,Laboratory,AWQC,28/09/2023,375882,6000470,48800,17,247,23600,7.3,19,0.003,2.7,0.143,8.3,20,25.9,174,,64,1840000,
1.8km west of Salt Creek,Laboratory,AWQC,21/03/2024,375882,6000470,84000,19,263,36300,16.6,103,6.6,6.24,0.227,7.9,33.3,45.1,216,,83.3,1500000,
1.8km west of Salt Creek,Laboratory,AWQC,9/05/2024,375882,6000470,98200,17,261,54000,18,<1,0.7,6.52,0.238,8,35.6,47.3,140,,42,2140000,
3.2km South of Salt Creek land,Laboratory,AWQC,22/01/2020,377570,5997290,134000,37,211,64700,5.63,0.149,0.007,7.85,0.312,7.6,29.3,39.7,47.2,,14.2,,
