Sampling_point,Date,Easting,Northing,Distance_Murray_Mouth,AMPA_ug_L,Acidity_as_Calcium_Carbonate_mg_L,Aldrin_ug_L,Algae_Total_cells_mL,Alkalinity_as_Calcium_Carbonate_mg_L,Aluminium_Soluble_mg_L,Aluminium_Total_mg_L,Ammonia_as_N_mg_L,Antimony_Total_mg_L,Arsenic_Inorganic_mg_L,Atrazine_ug_L,Azinphos_methyl_ug_L,Bicarbonate_mg_L,Blue_Green_Algae_Total_cells_mL,Cadmium_Total_mg_L,Calcium_mg_L,Calcium_Hardness_as_CaCO3_mg_L,Carbon_Dioxide_Free_mg_L,Carbonate_mg_L,Carbonate_hardness_as_CaCO3_mg_L,Cells_ml_cells_mL,Chlordane_a_ug_L,Chlordane_g_ug_L,Chloride_mg_L,Chlorides_Total_as_NaCl_mg_L,Chlorophyll_a_ug_L,Chlorophyll_b_ug_L,Chlorothalonil_ug_L,Chlorpyrifos_ug_L,Chlorthal_Dimethyl_ug_L,Chromium_Total_mg_L,Conductivity_uS_cm,Copper_Total_mg_L,DDD_ug_L,DDE_ug_L,DDT_ug_L,Diazinon_ug_L,Dieldrin_ug_L,Dissolved_Organic_Carbon_mg_L,Dissolved_Oxygen_mg_L,Dissolved_solids_by_calculation_mg_L,Endosulfan_ug_L,Endosulfan_1_ug_L,Endosulfan_2_ug_L,Endosulfan_Sulphate_ug_L,Endrin_ug_L,Fenitrothion_ug_L,Fixed_Solids_mg_L,Geosmin_MIB_producing_BGA_Total_cells_mL,Glyphosate_ug_L,Heptachlor_ug_L,Heptachlor_Epoxide_ug_L,Hexazinone_ug_L,Ion_balance_percent,Iron_Soluble_mg_L,Iron_Total_mg_L,Langelier_Index,Lead_Total_mg_L,Lindane_ug_L,Magnesium_mg_L,Magnesium_Hardness_as_CaCO3_mg_L,Malathion_ug_L,Mercury_Total_mg_L,Methoxychlor_ug_L,Nickel_Total_mg_L,Nitrate_Nitrite_as_N_mg_L,Nitrate_as_Nitrogen_mg_L,Nitrite_as_Nitrogen_mg_L,Nitrogen_Total_mg_L,Noncarbonate_hardness_as_CaCO3_mg_L,Parathion_ug_L,Parathion_methyl_ug_L,Phaeophytin_a_ug_L,Phosphorus_Filterable_Reactive_as_P_mg_L,Phosphorus_Total_mg_L,Potassium_mg_L,Prometryne_ug_L,Selenium_Total_mg_L,Silica_Reactive_mg_L,Silver_Total_mg_L,Simazine_ug_L,Sodium_mg_L,Sodium_Adsorption_Ratio_Calculation,Sodium_Total_cations_ratio_percent,Sulphate_mg_L,Suspended_Solids_mg_L,TKN_as_Nitrogen_mg_L,Temperature_at_which_pH_is_measured_celsius,Total_Dissolved_Solids_by_EC_mg_L,Total_Dissolved_Solids_by_evaporation_mg_L,Total_Hardness_as_CaCO3_mg_L,Total_Organic_Carbon_mg_L,Trifluralin_ug_L,Turbidity_NTU,Vinclozolin_ug_L,Volatile_Suspended_Solids_mg_L,Zinc_Soluble_mg_L,Zinc_Total_mg_L,pH_pH_units,Total_Nitrogen
Tauwitchere,7/01/1998 0:00,320218,6059692,13.58,,,0.05,,129,,0.648,0.01,0.001,0.003,1.2,0.6,157,,0.0002,398,993,8,,129,,,,20500,33800,,,,,0.05,0.005,56100,0.005,,,,0.6,0.05,,,36500,0.05,,,0.05,,0.6,,,,0.05,0.05,1.5,-1.18,,0.679,0.61,0.001,0.05,1330,5460,0.6,,,,0.01,,,,6329,0.6,0.6,,0.025,0.145,418,1.2,0.001,2,0.0002,1.2,11100,60.1,77.6,2720,,1.4,,37000,,6458,,0.1,,,,,0.263,7.5,1.41
Tauwitchere,8/04/1998 0:00,320218,6059692,13.58,,,0.05,,123,,0.408,0.05,0.001,0.004,1.2,0.6,150,,0.0002,352,880,2,,123,,,,18000,29600,,,,,0.05,0.002,47700,0.009,,,,0.6,0.05,,,31500,0.05,,,0.05,,0.6,,,,0.05,0.05,1.5,-2.64,,1.93,1.13,0.005,0.05,1200,4930,0.6,,,,0.005,,,,5691,0.6,0.6,,0.05,0.21,351,1.2,0.001,1,0.0013,1.2,9260,52.9,76.3,2270,,2.2,,31000,,5814,,0.1,,,,,0.017,8.1,2.205
Tauwitchere,24/08/1998 15:40,320218,6059692,13.58,,,,,118,,0.062,0.219,0.001,0.001,,,144,,0.0004,190,475,2,,118,,,,10100,16700,,,,,,0.005,27500,0.005,,,,,,,,17900,,,,,,,,,,,,,-1.85,,0.027,0.83,0.002,,680,2800,,,,,0.024,,,,3155,,,,0.025,0.032,200,,0.001,1,0.0002,,5360,40.8,76.8,1310,,0.66,,17000,,3273,,,,,,,0.315,8.1,0.684
Tauwitchere,1/12/1998 17:00,320218,6059692,13.58,,,,,122,,2.28,0.12,0.001,0.005,,,130,,0.0002,282,704,,9,122,,,,12300,20300,,,,,,0.003,32000,0.004,,,,,,,,22000,,,,,,,,,,,,,-1.49,,1.95,1.27,0.005,,851,3500,,,,,0.13,,,,4085,,,,0.05,0.14,380,,0.001,4,0.0003,,6410,43,74.9,1660,,1.5,,20000,,4206,,,,,,,0.034,8.4,1.63
Tauwitchere,9/12/1999 15:00,320218,6059692,13.58,,,,,,,0.637,0.025,0.002,0.002,,,,,0.0004,,,,,,,,,,,14,0.1,,,,0.002,35100,,,,,,,,,,,,,,,,,,,,,,,,0.597,,0.005,,,,,0.0003,,0.072,0.005,,,,,,,,0.009,0.176,,,0.002,1,0.0005,,,,,,,1.4,,22000,,,,,14,,,,0.011,8.3,1.405
Tauwitchere,27/03/2000 16:59,320218,6059692,13.58,,,,,,,0.148,0.1,,,,,,,0.0009,,,,,,,,,,,7.2,1.3,,,,0.001,46500,,,,,,,,,,,,,,,,,,,,,,,,0.061,,0.005,,,,,0.0003,,,0.005,,,,,,,,0.005,0.033,,,,0.17,0.0016,,,,,,,0.37,,30000,,,,,1.3,,,,0.033,8.3,0.375
Tauwitchere,27/06/2000 0:00,320218,6059692,13.58,,,,,,,0.478,0.1,0.003,0.002,,,153,,0.0004,299,,,,,,,,15300,,5.4,0.5,,,,0.001,39100,,,,,,,,,,,,,,,,,,,,,,-4.5,,0.255,,0.005,,943,,,0.0003,,0.1,0.005,,,,,,,,0.006,0.035,254,,0.032,0.12,0.0006,,7750,,,2070,15,0.33,,25000,,,,,4.7,,,,0.03,7.9,0.335
Tauwitchere,11/09/2000 18:15,320218,6059692,13.58,,,,,126,,7.1,0.2,,0.002,,,154,,0.0004,34.6,,,,,,,,627,,110,8.2,,,,0.008,2400,,,,,,,,,,,,,,,,,,,,,,-2.07,,7.23,,0.005,,46.5,,,0.0003,,0.008,0.009,,,,,,,,0.021,0.5,18.2,,0.003,1,0.0003,,353,,,100,297,3,,1300,,,,,150,,,,0.015,8,3.009
Tauwitchere,6/12/2000 14:00,320218,6059692,13.58,,,0.05,,90,,3.46,0.2,0.002,0.002,0.5,0.5,108,,0.0004,,,,1,,,0.05,0.05,,,21,1,0.05,0.05,0.05,0.006,12600,,0.05,0.05,0.05,0.5,0.05,,,,,0.05,0.05,0.05,0.05,0.5,,,10,0.05,0.05,0.5,,,2.66,,0.005,0.05,,,0.5,0.0004,0.05,0.01,0.005,,,,,0.5,0.3,,0.005,0.148,,0.5,0.002,,0.0039,0.5,,,,,,1.45,,7300,,,,0.1,48,0.05,,,0.01,8.6,1.455
Tauwitchere,29/03/2001 15:30,320218,6059692,13.58,,,,,117,,1.17,0.044,0.002,0.002,,,141,,0.0004,374,,,,,,,,17300,,12,1.5,,,,0.002,49500,0.011,,,,,,,,,,,,,,,,,,,,,2.3,,0.97,,0.006,,1240,,,0.0003,,0.007,0.005,,,,,,,,0.005,0.061,363,,0.002,,0.0002,,10200,,,2700,,0.51,,32000,,,,,17,,,,0.013,8.2,0.515
