Z
-1.0
-2.0
-3.5
-5.0
-7.0
-9.0
-11.0
-14.0
-17.5
-21.0
-25.0
-30.0
-40.0
-50.0
-75.0
-100.0
-150.0
-200.0
-500.0
-1000.0
