FVC file = hchb_Gen15_201707_202201.fvc, Simulation Execution: 31/05/2022 10:29:54
Nodestring coordinates,X,Y,ZB,Chain,Length,LeftCellID,RightCellID,NSID,ID
, 0.31405200000000E+06, 0.60561900000000E+07, -0.9999900E+05,  0.0000000E+00,  0.1521045E+05,          86,           0,           1,           1
, 0.31387781200000E+06, 0.60562885600000E+07, -0.9999900E+05,  0.2001388E+03,  0.1521045E+05,          84,           0,           1,           1
, 0.31370362400000E+06, 0.60563871200000E+07, -0.9999900E+05,  0.4002776E+03,  0.1521045E+05,          83,           0,           1,           1
, 0.31352943600000E+06, 0.60564856700000E+07, -0.9999900E+05,  0.6004114E+03,  0.1521045E+05,          82,           0,           1,           1
, 0.31335524900000E+06, 0.60565842300000E+07, -0.9999900E+05,  0.8005493E+03,  0.1521045E+05,          81,           0,           1,           1
, 0.31318106100000E+06, 0.60566827900000E+07, -0.9999900E+05,  0.1000688E+04,  0.1521045E+05,          80,           0,           1,           1
, 0.31300687300000E+06, 0.60567813500000E+07, -0.9999900E+05,  0.1200827E+04,  0.1521045E+05,          79,           0,           1,           1
, 0.31283268500000E+06, 0.60568799100000E+07, -0.9999900E+05,  0.1400966E+04,  0.1521045E+05,          78,           0,           1,           1
, 0.31265849700000E+06, 0.60569784700000E+07, -0.9999900E+05,  0.1601104E+04,  0.1521045E+05,          77,           0,           1,           1
, 0.31248430900000E+06, 0.60570770200000E+07, -0.9999900E+05,  0.1801238E+04,  0.1521045E+05,          76,           0,           1,           1
, 0.31231012100000E+06, 0.60571755800000E+07, -0.9999900E+05,  0.2001377E+04,  0.1521045E+05,          75,           0,           1,           1
, 0.31213593300000E+06, 0.60572741400000E+07, -0.9999900E+05,  0.2201516E+04,  0.1521045E+05,          74,           0,           1,           1
, 0.31196174600000E+06, 0.60573727000000E+07, -0.9999900E+05,  0.2401654E+04,  0.1521045E+05,          73,           0,           1,           1
, 0.31178755800000E+06, 0.60574712600000E+07, -0.9999900E+05,  0.2601792E+04,  0.1521045E+05,          72,           0,           1,           1
, 0.31161337000000E+06, 0.60575698200000E+07, -0.9999900E+05,  0.2801931E+04,  0.1521045E+05,          71,           0,           1,           1
, 0.31143918200000E+06, 0.60576683700000E+07, -0.9999900E+05,  0.3002065E+04,  0.1521045E+05,          70,           0,           1,           1
, 0.31126499400000E+06, 0.60577669300000E+07, -0.9999900E+05,  0.3202204E+04,  0.1521045E+05,          69,           0,           1,           1
, 0.31109080600000E+06, 0.60578654900000E+07, -0.9999900E+05,  0.3402342E+04,  0.1521045E+05,          68,           0,           1,           1
, 0.31091410900000E+06, 0.60579594600000E+07, -0.9999900E+05,  0.3602473E+04,  0.1521045E+05,          67,           0,           1,           1
, 0.31073714400000E+06, 0.60580529400000E+07, -0.9999900E+05,  0.3802610E+04,  0.1521045E+05,          66,           0,           1,           1
