CPS,Indicator,Start Time,End Time,Var,Trigger,Days (%)
Smallmouth hardyhead (Foodweb),Water level,01-04-2020,01-10-2020,H,0.3000,89.6175
Smallmouth hardyhead (Foodweb),Water level,01-10-2020,01-04-2021,H,0.3000,23.0769
