Site,X,Y,Num. Vars,Start Date,End Date,Total Samples at Site
A_1010,371788.5350,6005206.0028,10,14-10-2020,14-10-2020,160
A_1025,371222.5747,6006551.4076,10,14-10-2020,14-10-2020,160
A_1040,373904.7382,6005246.7222,10,14-10-2020,14-10-2020,150
A_1065,374282.1715,6001034.7306,10,14-10-2020,14-10-2020,150
A_1080,373939.2814,6002049.3143,10,14-10-2020,14-10-2020,160
A_109,366572.3610,6013036.9999,10,15-10-2020,15-10-2020,160
A_1095,373299.1879,6003190.1756,10,14-10-2020,14-10-2020,160
A_1103,367125.2711,6018234.8032,10,15-10-2020,15-10-2020,160
A_112,342763.5425,6041890.3375,10,01-10-2020,01-10-2020,160
A_1125,366994.2422,6018358.8625,10,15-10-2020,15-10-2020,150
A_1129,366788.6291,6018672.8480,10,15-10-2020,15-10-2020,50
A_1130,366677.4401,6018790.4355,10,15-10-2020,15-10-2020,50
A_1141,366833.4363,6018572.8941,10,15-10-2020,15-10-2020,100
A_1150,345514.2934,6038458.7896,10,16-10-2020,16-10-2020,160
A_1158,366283.3226,6019351.4127,10,15-10-2020,15-10-2020,50
A_1175,364457.7835,6021044.8930,10,15-10-2020,15-10-2020,50
A_1180,360631.8363,6024814.2645,10,15-10-2020,15-10-2020,160
A_1200,344927.2216,6039136.8130,10,16-10-2020,16-10-2020,160
A_1201,367322.2081,6017621.7779,10,15-10-2020,15-10-2020,160
A_1216,367294.4805,6017875.4369,10,15-10-2020,15-10-2020,160
A_1231,367190.4122,6018101.8696,10,15-10-2020,15-10-2020,160
A_1256,346694.0167,6038398.7419,10,16-10-2020,16-10-2020,60
A_130,342796.7125,6041789.7292,10,01-10-2020,01-10-2020,160
A_1320,372102.6598,6009400.6280,10,14-10-2020,14-10-2020,160
A_1335,371925.0997,6009590.4230,10,14-10-2020,14-10-2020,160
A_1350,372618.0470,6008548.8271,10,14-10-2020,14-10-2020,160
A_1351,373974.2679,6006241.0533,10,13-10-2020,13-10-2020,160
A_1404,364756.3369,6015139.3932,10,15-10-2020,15-10-2020,160
A_1419,364120.7702,6015525.9091,10,15-10-2020,15-10-2020,160
A_142,360272.5250,6024932.5098,10,01-10-2020,01-10-2020,160
A_1434,355572.7383,6026308.8236,10,15-10-2020,15-10-2020,160
A_1449,355519.8638,6026378.6363,10,15-10-2020,15-10-2020,160
A_1464,355359.5370,6027308.1502,10,15-10-2020,15-10-2020,160
A_1479,355326.2555,6027394.0391,10,15-10-2020,15-10-2020,160
A_1494,360295.9563,6024957.6239,10,15-10-2020,15-10-2020,160
A_1509,360389.4418,6024794.1175,10,15-10-2020,15-10-2020,160
A_1524,360732.6781,6024795.8872,10,15-10-2020,15-10-2020,160
A_1539,344999.7065,6039050.7564,10,16-10-2020,16-10-2020,160
A_1580,369564.6049,6010303.8782,10,14-12-2021,14-12-2021,160
A_161,370953.2408,6006767.4591,10,15-10-2020,15-10-2020,160
A_1683,387138.4881,5978367.1014,10,02-03-2021,02-03-2021,150
A_1704,387177.9141,5978358.8492,10,02-03-2021,02-03-2021,150
A_176,369909.0992,6007747.0259,10,15-10-2020,15-10-2020,160
A_191,369605.5024,6008899.0694,10,15-10-2020,15-10-2020,160
A_1991,370349.1329,6013337.5744,10,10-03-2021,10-03-2021,150
A_2,352873.7171,6030813.4487,10,30-09-2020,30-09-2020,160
A_2006,367742.3068,6017026.8662,10,10-03-2021,10-03-2021,150
A_2021,367534.9881,6017152.5581,10,02-12-2021,02-12-2021,160
A_2040,367796.7991,6016929.2726,10,02-12-2021,02-12-2021,160
A_2055,350815.8975,6030826.6331,10,10-03-2021,10-03-2021,150
A_2056,367123.8133,6018235.7797,10,11-03-2021,11-03-2021,150
A_2071,360642.7123,6024811.4408,10,11-03-2021,11-03-2021,150
A_2086,357137.0095,6024732.8910,10,11-03-2021,11-03-2021,150
A_2091,367333.2890,6017264.0175,10,02-12-2021,02-12-2021,160
A_21,354148.8427,6031214.4058,10,30-09-2020,30-09-2020,170
A_2106,373930.5186,6002107.6586,10,10-03-2021,10-03-2021,150
A_2121,367118.1779,6018232.6989,10,02-12-2021,02-12-2021,160
A_2141,366985.0519,6018352.2883,10,11-03-2021,11-03-2021,150
A_2156,356528.5062,6027214.8457,10,12-04-2021,12-04-2021,150
A_2171,355330.8264,6027396.1113,10,11-03-2021,11-03-2021,150
A_2205,360260.0877,6024931.3140,10,02-12-2021,02-12-2021,160
A_2210,373916.7950,6006317.0030,10,09-03-2021,09-03-2021,150
A_2230,373974.1731,6006241.3847,10,09-03-2021,09-03-2021,150
A_2260,335080.3077,6046531.7758,10,23-03-2021,23-03-2021,150
A_2275,345072.0708,6038976.6808,10,03-12-2021,03-12-2021,150
A_2276,356231.9942,6026550.4970,10,12-04-2021,12-04-2021,150
A_2291,355873.1145,6025457.6024,10,09-03-2021,09-03-2021,150
A_2319,356800.1445,6025160.8159,10,11-03-2021,11-03-2021,160
A_2335,346711.8973,6038410.3694,10,10-03-2021,10-03-2021,150
A_2353,368024.6354,6015599.0688,10,10-03-2021,10-03-2021,150
A_2375,367303.7886,6017372.3042,10,10-03-2021,10-03-2021,150
A_2382,371933.6903,6009582.1162,10,10-03-2021,10-03-2021,150
A_239,366451.7188,6014242.5456,10,15-10-2020,15-10-2020,160
A_2394,331436.2998,6049876.5829,10,23-03-2021,23-03-2021,150
A_2405,366830.9277,6018577.7380,10,11-03-2021,11-03-2021,60
A_2413,360262.7768,6024926.8075,10,11-03-2021,11-03-2021,150
A_2435,354157.7647,6031215.6627,10,11-03-2021,11-03-2021,150
A_2445,355590.9203,6026301.1325,10,11-03-2021,11-03-2021,150
A_2452,370345.9492,6013345.6267,10,10-03-2021,10-03-2021,150
A_2475,345010.7934,6039052.7258,10,03-12-2021,03-12-2021,150
A_2490,356883.0604,6026297.5697,10,12-04-2021,12-04-2021,150
A_2491,356914.0447,6024683.7817,10,11-03-2021,11-03-2021,150
A_251,352284.8761,6030974.9357,10,30-09-2020,30-09-2020,160
A_2520,345522.3189,6038470.3586,10,10-03-2021,10-03-2021,150
A_2535,359047.9759,6023191.5507,10,11-03-2021,11-03-2021,150
A_2541,357420.4808,6027454.1055,10,12-04-2021,12-04-2021,150
A_2570,357688.0616,6024475.9589,10,11-03-2021,11-03-2021,150
A_2571,357170.9810,6024586.0929,10,11-03-2021,11-03-2021,150
A_2591,375553.1368,5999173.7610,10,10-03-2021,10-03-2021,150
A_2615,372618.1274,6008549.4940,10,10-03-2021,10-03-2021,150
A_2621,369635.5261,6008946.0045,10,11-03-2021,11-03-2021,150
A_2641,370035.3054,6007710.3986,10,11-03-2021,11-03-2021,150
A_2656,356144.4276,6026123.9973,10,12-04-2021,12-04-2021,150
A_2685,372103.7655,6009411.2953,10,01-12-2021,01-12-2021,160
A_2691,371750.2071,6005240.5018,10,11-03-2021,11-03-2021,150
A_2706,373310.4861,6003180.9084,10,11-03-2021,11-03-2021,150
A_2734,355534.8300,6026379.8802,10,11-03-2021,11-03-2021,150
A_2743,376358.2234,6003340.1170,10,09-03-2021,09-03-2021,150
A_277,350825.3971,6030809.7060,10,30-09-2020,30-09-2020,160
A_2770,367196.0726,6018103.2865,10,11-03-2021,11-03-2021,150
A_2785,366282.3433,6019344.6298,10,11-03-2021,11-03-2021,130
A_2797,371064.1344,6011575.0168,10,10-03-2021,10-03-2021,150
A_2820,356335.0798,6025415.8797,10,09-03-2021,09-03-2021,160
A_2824,370341.9139,6013502.8942,10,10-03-2021,10-03-2021,150
A_2836,368049.5718,6015613.6451,10,10-03-2021,10-03-2021,150
A_2855,360730.1452,6024801.9496,10,11-03-2021,11-03-2021,150
A_2870,352876.2126,6030847.9979,10,10-03-2021,10-03-2021,150
A_2885,360388.6360,6024788.0023,10,11-03-2021,11-03-2021,150
A_2888,373859.2190,6006350.0135,10,09-03-2021,09-03-2021,150
A_2905,372094.5075,6009403.6157,10,10-03-2021,10-03-2021,150
A_292,372640.3990,6008585.3215,10,30-09-2020,30-09-2020,160
A_2920,371026.8365,6012432.6658,10,10-03-2021,10-03-2021,150
A_2935,374262.5239,6001074.0572,10,10-03-2021,10-03-2021,150
A_2936,370299.2977,6013251.4067,10,10-03-2021,10-03-2021,150
A_2954,356488.5409,6028361.6953,10,12-04-2021,12-04-2021,150
A_2970,375415.2023,6003025.6245,10,10-03-2021,10-03-2021,160
A_2983,355372.5846,6027332.8855,10,11-03-2021,11-03-2021,150
A_299,377300.6461,6001878.8818,10,30-09-2020,30-09-2020,160
A_2992,344896.8030,6039175.1164,10,10-03-2021,10-03-2021,150
A_3020,367325.7177,6017622.2747,10,02-12-2021,02-12-2021,160
A_3035,371302.8005,6006614.3862,10,11-03-2021,11-03-2021,160
A_3041,351434.7141,6033148.8682,10,10-03-2021,10-03-2021,150
A_3070,355482.6304,6025692.5386,10,11-03-2021,11-03-2021,150
A_3078,352277.4551,6030986.5731,10,10-03-2021,10-03-2021,150
A_3105,371077.0334,6011684.6030,10,10-03-2021,10-03-2021,150
A_313,376006.1007,6003639.2445,10,14-10-2020,14-10-2020,160
A_3135,371156.8154,6006852.1155,10,11-03-2021,11-03-2021,160
A_3141,372636.5726,6008588.2616,10,10-03-2021,10-03-2021,150
A_316,371218.1807,6006207.0628,10,15-10-2020,15-10-2020,150
A_3170,366311.1382,6019295.8052,10,11-03-2021,11-03-2021,100
A_3185,364408.6714,6021087.9625,10,11-03-2021,11-03-2021,150
A_3186,342760.4752,6041930.6730,10,10-03-2021,10-03-2021,150
A_3191,371005.9808,6012484.1728,10,10-03-2021,10-03-2021,150
A_3206,366680.6181,6018789.0413,10,11-03-2021,11-03-2021,30
A_3221,367326.2470,6017623.0593,10,10-03-2021,10-03-2021,150
A_3255,345041.5713,6038952.5125,10,10-03-2021,10-03-2021,160
A_3256,367689.4446,6017081.9898,10,02-12-2021,02-12-2021,160
A_3270,364453.3880,6021037.3916,10,11-03-2021,11-03-2021,130
A_3285,367289.9957,6017873.8159,10,02-12-2021,02-12-2021,160
A_3290,342808.6474,6041810.3578,10,10-03-2021,10-03-2021,160
A_3291,367187.9257,6018105.2715,10,02-12-2021,02-12-2021,160
A_3316,367537.2385,6017164.7966,10,10-03-2021,10-03-2021,150
A_3321,360395.2329,6024793.2107,10,02-12-2021,02-12-2021,160
A_334,376357.1306,6003340.9892,10,14-10-2020,14-10-2020,160
A_3341,369912.5989,6014182.8808,10,10-03-2021,10-03-2021,150
A_3356,369946.5599,6014154.0930,10,10-03-2021,10-03-2021,150
A_3371,375577.6573,5999417.2009,10,10-03-2021,10-03-2021,150
A_3391,344936.4939,6039133.9795,10,10-03-2021,10-03-2021,160
A_3410,367756.6295,6016931.9969,10,10-03-2021,10-03-2021,150
A_3425,367684.3223,6017086.7945,10,10-03-2021,10-03-2021,150
A_3433,367978.6155,6015571.5272,10,10-03-2021,10-03-2021,150
A_3441,373737.7946,6007288.5594,10,09-03-2021,09-03-2021,150
A_3456,373805.7232,6007318.9397,10,09-03-2021,09-03-2021,150
A_3485,377299.6714,6001884.1936,10,09-03-2021,09-03-2021,150
A_350,373738.9494,6007289.6856,10,13-10-2020,13-10-2020,160
A_366,373917.3369,6006316.8998,10,13-10-2020,13-10-2020,160
A_380,373856.0141,6006347.4155,10,13-10-2020,13-10-2020,160
A_395,373805.1845,6007318.8210,10,13-10-2020,13-10-2020,160
A_401,375551.5317,5999160.0913,10,14-10-2020,14-10-2020,150
A_411,375536.6640,5999414.1762,10,14-10-2020,14-10-2020,150
A_425,375459.2677,6000500.7127,10,14-10-2020,14-10-2020,150
A_430,374013.7480,6003935.9800,10,14-10-2020,14-10-2020,150
A_44,355474.1142,6025694.3962,10,30-09-2020,30-09-2020,160
A_445,367379.8642,6012031.2547,10,15-10-2020,15-10-2020,160
A_462,357133.8331,6024733.9491,10,14-10-2020,14-10-2020,160
A_477,356802.4077,6025154.8611,10,14-10-2020,14-10-2020,160
A_492,356424.7164,6025410.4610,10,14-10-2020,14-10-2020,160
A_501,355869.3023,6025436.7912,10,14-10-2020,14-10-2020,150
A_516,356496.1894,6025117.9251,10,14-10-2020,14-10-2020,160
A_531,356910.9768,6024689.2796,10,14-10-2020,14-10-2020,160
A_547,357169.1543,6024581.8469,10,14-10-2020,14-10-2020,160
A_556,375404.5292,6002984.8652,10,14-10-2020,14-10-2020,160
A_56,369487.7266,6009820.6522,10,15-10-2020,15-10-2020,160
A_571,374839.2449,6003720.7118,10,14-10-2020,14-10-2020,160
A_600,375101.6799,6003678.0846,10,14-10-2020,14-10-2020,160
A_605,370334.6978,6013503.2314,10,14-10-2020,14-10-2020,160
A_631,371077.2777,6011686.3818,10,14-10-2020,14-10-2020,160
A_646,371097.8878,6011577.8427,10,14-10-2020,14-10-2020,160
A_662,367340.3300,6017257.5777,10,15-10-2020,15-10-2020,160
A_677,367298.4678,6017366.3434,10,15-10-2020,15-10-2020,160
A_704,367538.3922,6017166.0344,10,15-10-2020,15-10-2020,160
A_71,369415.1742,6010275.8028,10,15-10-2020,15-10-2020,160
A_719,367620.0410,6017139.6377,10,15-10-2020,15-10-2020,160
A_734,367684.9233,6017088.8006,10,15-10-2020,15-10-2020,160
A_749,367740.2799,6017035.7117,10,15-10-2020,15-10-2020,160
A_751,370331.0404,6013421.2963,10,14-10-2020,14-10-2020,160
A_770,370353.0014,6013344.1776,10,14-10-2020,14-10-2020,160
A_785,371000.7994,6012493.3055,10,14-10-2020,14-10-2020,160
A_799,371032.8485,6012422.2139,10,14-10-2020,14-10-2020,160
A_801,369952.4151,6014148.2994,10,14-10-2020,14-10-2020,160
A_805,368014.3140,6015595.9181,10,14-10-2020,14-10-2020,160
A_819,367972.2604,6015568.4361,10,14-10-2020,14-10-2020,160
A_836,369902.5600,6014191.1643,10,14-10-2020,14-10-2020,160
A_851,367757.8266,6016930.3506,10,15-10-2020,15-10-2020,160
A_86,367965.3336,6011102.4317,10,15-10-2020,15-10-2020,160
A_879,368046.7678,6015626.2513,10,14-10-2020,14-10-2020,160
A_940,359043.2585,6023210.0046,10,17-12-2020,17-12-2020,160
A_946,357708.4562,6024515.3445,10,17-12-2020,17-12-2020,160
A_954,345044.0346,6038930.5854,10,16-10-2020,16-10-2020,160
B_1282,366456.5270,6014234.6302,10,14-12-2021,14-12-2021,160
B_1300,360726.9808,6024796.5738,10,02-12-2021,02-12-2021,160
B_1407,364766.4218,6015146.0947,10,14-12-2021,14-12-2021,160
B_1572,366614.5828,6013022.6630,10,14-12-2021,14-12-2021,160
B_1610,342825.3181,6041798.5587,10,03-12-2021,03-12-2021,150
B_1619,355381.4216,6027289.5356,10,03-12-2021,03-12-2021,160
B_1633,354155.3006,6031233.5969,10,03-12-2021,03-12-2021,150
B_1664,355352.4071,6027385.0368,10,03-12-2021,03-12-2021,160
B_1684,367613.4027,6017143.3101,10,02-12-2021,02-12-2021,160
B_2026,350826.0959,6030821.8123,10,12-12-2021,12-12-2021,160
B_2116,369939.8699,6014137.1295,10,02-12-2021,02-12-2021,160
B_2117,370303.7243,6013513.0922,10,02-12-2021,02-12-2021,160
B_2119,368046.1086,6015634.1190,10,02-12-2021,02-12-2021,160
B_2120,369894.6912,6014186.8316,10,02-12-2021,02-12-2021,160
B_2149,352880.8251,6030815.1205,10,12-12-2021,12-12-2021,160
B_215,345532.1282,6038472.9709,10,03-12-2021,03-12-2021,150
B_2289,373961.8721,6006238.7668,10,01-12-2021,01-12-2021,160
B_2298,371935.6024,6009556.0710,10,01-12-2021,01-12-2021,140
B_2334,371056.7651,6011677.8700,10,01-12-2021,01-12-2021,150
B_2335,352286.6525,6030976.7408,10,12-12-2021,12-12-2021,150
B_2495,371020.1585,6012408.7134,10,01-12-2021,01-12-2021,160
B_2513,370357.7711,6013338.5896,10,02-12-2021,02-12-2021,160
B_2534,370337.7617,6013411.7429,10,02-12-2021,02-12-2021,160
B_2535,368006.9122,6015590.4812,10,02-12-2021,02-12-2021,160
B_2569,370991.3880,6012483.6255,10,01-12-2021,01-12-2021,160
