Site,SAL,TEMP,WQ_CAR_PH,WQ_DIAG_EC25,WQ_DIAG_SDG_ARPD,WQ_DIAG_SDG_RAP,WQ_DIAG_TOT_TURBIDITY,WQ_OXY_OXY,WQ_OXY_SAT,
COOR_01,x,x,x,x,x,x,x,x,x,
COOR_02, , , , ,x,x, , , ,
COOR_03, , , , ,x,x, , , ,
COOR_04,x,x,x,x,x,x,x,x,x,
COOR_05, , , , ,x,x, , , ,
COOR_06, , , , ,x,x, , , ,
COOR_07,x,x,x,x,x,x,x,x,x,
COOR_08, , , , ,x,x, , , ,
COOR_09, , , , ,x,x, , , ,
COOR_10, , , , ,x,x, , , ,
COOR_11, , , , ,x,x, , , ,
COOR_12,x,x,x,x,x,x,x,x,x,
COOR_13, , , , ,x,x, , , ,
COOR_14, , , , ,x,x, , , ,
COOR_15,x,x,x,x,x,x,x,x,x,
COOR_16, , , , ,x,x, , , ,
COOR_17,x,x,x,x,x,x,x,x,x,
COOR_18, , , , ,x,x, , , ,
COOR_19, , , , ,x,x, , , ,
COOR_20, , , , ,x,x, , , ,
COOR_21,x, , , ,x,x, , , ,
COOR_22, , , , ,x,x, , , ,
COOR_23,x,x,x,x,x,x,x,x,x,
COOR_24, , , , ,x,x, , , ,
COOR_25, , , , ,x,x, , , ,
COOR_26,x,x,x,x,x,x,x,x,x,
COOR_27, , , , , ,x, , , ,
COOR_28,x,x,x,x, ,x,x,x,x,
COOR_29, , , , ,x,x, , , ,
COOR_30,x,x,x,x,x,x,x,x,x,
COOR_31, , , , ,x,x, , , ,
COOR_32, , , , ,x,x, , , ,
COOR_33, , , , ,x,x, , , ,
COOR_34, , , , ,x,x, , , ,
COOR_35,x,x,x,x,x,x,x,x,x,
COOR_36, , , , ,x,x, , , ,
COOR_37, , , , ,x,x, , , ,
COOR_38, , , , ,x,x, , , ,
COOR_39, , , , ,x,x, , , ,
COOR_40,x,x,x,x,x,x,x,x,x,
COOR_41, , , , ,x,x, , , ,
COOR_42, , , , ,x,x, , , ,
COOR_43, , , , ,x,x, , , ,
COOR_44, , , , ,x,x, , , ,
COOR_45,x,x,x,x,x,x,x,x,x,
COOR_46, , , , ,x,x, , , ,
COOR_47, , , , ,x,x, , , ,
COOR_48, , , , ,x,x, , , ,
COOR_49, , , , ,x,x, , , ,
COOR_50,x,x,x,x,x,x,x,x,x,
Salt_Creek_Regulator,x,x,x,x, , ,x,x,x,
