Time,Days_Since_20130507
14/05/2013 00:00:00,7.000007788
14/06/2013 00:00:01,38.00001251
14/07/2013 00:00:07,68.00008288
14/08/2013 00:00:00,99.00001095
14/09/2013 00:00:06,130.0000708
14/10/2013 00:00:06,160.0000709
14/11/2013 00:00:00,191.0000052
14/12/2013 00:00:03,221.0000412
14/01/2014 00:00:03,252.000036
14/02/2014 00:00:00,283.0000062
14/03/2014 00:00:01,311.0000202
14/04/2014 00:00:05,342.0000591
14/05/2014 00:00:06,372.0000755
14/06/2014 00:00:04,403.0000529
14/07/2014 00:00:04,433.0000519
14/08/2014 00:00:00,464.0000109
14/09/2014 00:00:04,495.0000484
14/10/2014 00:00:03,525.0000351
14/11/2014 00:00:04,556.0000576
14/12/2014 00:00:05,586.0000585
14/01/2015 00:00:00,617
14/02/2015 00:00:06,648.0000806
14/03/2015 00:00:07,676.0000923
14/04/2015 00:00:02,707.0000285
14/05/2015 00:00:00,737
14/06/2015 00:00:08,768.000094
14/07/2015 00:00:01,798.0000202
14/08/2015 00:00:02,829.0000244
