BATHY_CONTROL,BATHY_FILE
0,'.\dem\zb_no_flow_002.asc'
5,'.\dem\zb_verylow_flow_002.asc'
65,'.\dem\zb_low_flow_002.asc'
125,'.\dem\zb_medium_low_flow_002.asc'
250,'.\dem\zb_medium_flow_002.asc'
500,'.\dem\zb_medium_high_flow_002.asc'
1000,'.\dem\zb_high_flow_002.asc'
