ID,X,Y
1,306274.013,6062091.111
1,306806.577,6061673.414
1,307259.081,6061318.372
1,307628.047,6061071.235
1,307951.762,6060900.676
1,308258.073,6060841.502
1,308597.214,6061541.24
1,308780.039,6062094.13
1,308933.349,6062428.749
1,309190.928,6062595.828
1,309347.565,6062745.503
1,309378.892,6062771.609
1,309289.261,6063044.852
1,309268.376,6063075.309
1,308785.415,6063359.865
1,308567.864,6063476.472
1,307953.502,6063805.408
1,307628.047,6063979.448
1,307401.794,6064052.545
1,307321.647,6063930.58
1,307168.58,6063709.686
1,306911.001,6063257.181
1,306274.013,6062091.111
