ISOTime,Wx,Wy,Chx
01/11/2020 00:00:00,-0.3884,1.5727,0
01/11/2020 00:15:00,-0.9737,1.4781,0
01/11/2020 00:30:00,-1.1367,1.7419,0
01/11/2020 00:45:00,-1.0264,1.6108,0
01/11/2020 01:00:00,-1.7138,2.4134,0
01/11/2020 01:15:00,-1.8663,2.2327,0
01/11/2020 01:30:00,-1.6051,2.1086,0
01/11/2020 01:45:00,-1.3112,1.9622,0
01/11/2020 02:00:00,-1.3597,1.9411,0
01/11/2020 02:15:00,-1.5264,1.8261,0
01/11/2020 02:30:00,-1.6765,1.9610,0
01/11/2020 02:45:00,-2.3110,2.2852,0
01/11/2020 03:00:00,-2.3036,2.1777,0
01/11/2020 03:15:00,-1.8384,1.9225,0
01/11/2020 03:30:00,-1.7278,1.8068,0
01/11/2020 03:45:00,-1.8261,1.5264,0
01/11/2020 04:00:00,-1.9893,1.5142,0
01/11/2020 04:15:00,-1.5646,1.1638,0
01/11/2020 04:30:00,-1.4463,0.9852,0
01/11/2020 04:45:00,-1.3789,1.3789,0
01/11/2020 05:00:00,-1.2453,1.0517,0
01/11/2020 05:15:00,-1.0445,0.5908,0
01/11/2020 05:30:00,-0.8113,0.4748,0
01/11/2020 05:45:00,-0.8433,0.5186,0
01/11/2020 06:00:00,-1.1403,0.7227,0
01/11/2020 06:15:00,-1.2846,0.7349,0
01/11/2020 06:30:00,-1.4285,0.6982,0
01/11/2020 06:45:00,-1.6321,1.0854,0
01/11/2020 07:00:00,-2.2103,0.7684,0
01/11/2020 07:15:00,-2.1599,1.1352,0
01/11/2020 07:30:00,-2.2483,1.1601,0
01/11/2020 07:45:00,-2.2998,-0.0282,0
01/11/2020 08:00:00,-1.8996,0.0388,0
01/11/2020 08:15:00,-1.9891,0.0598,0
01/11/2020 08:30:00,-1.7744,-0.7334,0
01/11/2020 08:45:00,-1.8136,-1.3485,0
01/11/2020 09:00:00,-1.6584,-0.3253,0
01/11/2020 09:15:00,-1.5684,-0.7300,0
01/11/2020 09:30:00,-0.7665,-1.0126,0
01/11/2020 09:45:00,-1.5924,-0.3921,0
01/11/2020 10:00:00,-1.2374,-0.9500,0
01/11/2020 10:15:00,0.4981,-2.4295,0
01/11/2020 10:30:00,0.3022,-1.8049,0
01/11/2020 10:45:00,-1.3941,0.2112,0
01/11/2020 11:00:00,-1.1489,-1.0255,0
01/11/2020 11:15:00,0.0261,-2.0098,0
01/11/2020 11:30:00,-0.7244,-1.4041,0
01/11/2020 11:45:00,-0.3314,-1.3190,0
01/11/2020 12:00:00,-1.3356,-0.1967,0
01/11/2020 12:15:00,-0.2313,1.4821,0
01/11/2020 12:30:00,-0.7113,1.3092,0
01/11/2020 12:45:00,-1.7076,0.4657,0
01/11/2020 13:00:00,-1.8417,-0.3239,0
01/11/2020 13:15:00,-2.0354,0.4746,0
01/11/2020 13:30:00,-0.9450,1.8304,0
01/11/2020 13:45:00,-1.6060,1.9419,0
01/11/2020 14:00:00,-1.9320,2.2028,0
01/11/2020 14:15:00,-2.1251,2.5638,0
01/11/2020 14:30:00,-2.1632,2.4255,0
01/11/2020 14:45:00,-1.5215,3.0294,0
01/11/2020 15:00:00,-1.5300,2.5921,0
01/11/2020 15:15:00,-1.3919,2.3717,0
01/11/2020 15:30:00,-0.3734,3.0774,0
01/11/2020 15:45:00,-0.4284,2.7670,0
01/11/2020 16:00:00,-0.3979,3.1449,0
01/11/2020 16:15:00,-0.4894,3.8994,0
01/11/2020 16:30:00,0.1104,3.9284,0
01/11/2020 16:45:00,-0.8511,4.2557,0
01/11/2020 17:00:00,-0.2553,4.2724,0
01/11/2020 17:15:00,-0.8895,4.1456,0
01/11/2020 17:30:00,-0.8898,4.6761,0
01/11/2020 17:45:00,-0.7825,4.3299,0
01/11/2020 18:00:00,-1.0489,3.3706,0
01/11/2020 18:15:00,-1.2874,3.1576,0
01/11/2020 18:30:00,-0.7548,2.3624,0
01/11/2020 18:45:00,-0.6585,2.0782,0
01/11/2020 19:00:00,-1.3257,2.1431,0
01/11/2020 19:15:00,-1.8018,2.1823,0
01/11/2020 19:30:00,-2.1884,2.2378,0
01/11/2020 19:45:00,-2.1702,2.2694,0
01/11/2020 20:00:00,-1.9217,2.1719,0
01/11/2020 20:15:00,-1.8526,1.8526,0
01/11/2020 20:30:00,-1.6617,1.6617,0
01/11/2020 20:45:00,-1.9902,1.7193,0
01/11/2020 21:00:00,-1.2260,1.5035,0
01/11/2020 21:15:00,0.5264,0.5201,0
01/11/2020 21:30:00,0.7005,0.5160,0
01/11/2020 21:45:00,0.4106,0.3025,0
01/11/2020 22:00:00,0.7891,0.5812,0
01/11/2020 22:15:00,1.7019,0.7253,0
01/11/2020 22:30:00,1.5372,0.5422,0
01/11/2020 22:45:00,1.1883,0.4191,0
01/11/2020 23:00:00,0.9336,0.3293,0
01/11/2020 23:15:00,0.5564,0.1962,0
01/11/2020 23:30:00,0.3206,0.1131,0
01/11/2020 23:45:00,0.2641,0.0931,0
02/11/2020 00:00:00,0.3395,0.1197,0
02/11/2020 00:15:00,0.4338,0.1530,0
02/11/2020 00:30:00,0.4998,0.1763,0
02/11/2020 00:45:00,0.4244,0.1497,0
02/11/2020 01:00:00,0.1415,0.0499,0
02/11/2020 01:15:00,0.0000,0.0000,0
02/11/2020 01:30:00,0.0943,0.0333,0
02/11/2020 01:45:00,0.3206,0.1131,0
02/11/2020 02:00:00,0.0000,0.0000,0
02/11/2020 02:15:00,0.2546,0.0898,0
02/11/2020 02:30:00,0.1132,0.0399,0
02/11/2020 02:45:00,0.0566,0.0200,0
02/11/2020 03:00:00,0.7827,0.2761,0
02/11/2020 03:15:00,0.4998,0.1763,0
02/11/2020 03:30:00,0.9714,0.3426,0
02/11/2020 03:45:00,1.0080,-0.4648,0
02/11/2020 04:00:00,0.8743,-1.0806,0
02/11/2020 04:15:00,1.0126,-1.2517,0
02/11/2020 04:30:00,0.1698,-0.2099,0
02/11/2020 04:45:00,0.5220,-0.6453,0
02/11/2020 05:00:00,0.7988,-0.9873,0
02/11/2020 05:15:00,0.7359,-0.9096,0
02/11/2020 05:30:00,0.4780,-0.5908,0
02/11/2020 05:45:00,0.5220,-0.6453,0
02/11/2020 06:00:00,0.7736,-0.9562,0
02/11/2020 06:15:00,1.0001,-1.2361,0
02/11/2020 06:30:00,0.8223,-1.8997,0
02/11/2020 06:45:00,-1.5936,-2.2657,0
02/11/2020 07:00:00,-1.8255,-2.8802,0
02/11/2020 07:15:00,-1.9862,-3.1808,0
02/11/2020 07:30:00,-2.4874,-2.6024,0
02/11/2020 07:45:00,-2.6742,-2.4988,0
02/11/2020 08:00:00,-2.2030,-2.2794,0
02/11/2020 08:15:00,-2.0918,-2.7937,0
02/11/2020 08:30:00,-1.9137,-3.6147,0
02/11/2020 08:45:00,-1.7399,-3.9104,0
02/11/2020 09:00:00,-1.6241,-3.9491,0
02/11/2020 09:15:00,-1.5153,-4.2903,0
02/11/2020 09:30:00,-1.6163,-4.6152,0
02/11/2020 09:45:00,-1.3377,-4.6723,0
02/11/2020 10:00:00,-1.5337,-4.6011,0
02/11/2020 10:15:00,-1.6037,-4.9360,0
02/11/2020 10:30:00,-1.1502,-5.3170,0
02/11/2020 10:45:00,-1.7534,-4.2635,0
02/11/2020 11:00:00,-1.3680,-4.0027,0
02/11/2020 11:15:00,-1.8359,-3.6883,0
02/11/2020 11:30:00,-1.8716,-3.4444,0
02/11/2020 11:45:00,-1.6017,-3.4018,0
02/11/2020 12:00:00,-1.7338,-3.7154,0
02/11/2020 12:15:00,-1.7039,-3.4859,0
02/11/2020 12:30:00,-1.9257,-3.7662,0
02/11/2020 12:45:00,-1.6190,-3.6796,0
02/11/2020 13:00:00,-1.4449,-3.5578,0
02/11/2020 13:15:00,-0.2029,-3.3138,0
02/11/2020 13:30:00,-0.8790,-2.8055,0
02/11/2020 13:45:00,-0.9171,-2.7512,0
02/11/2020 14:00:00,-0.3451,-3.1310,0
02/11/2020 14:15:00,-0.4783,-1.9214,0
02/11/2020 14:30:00,0.0460,-2.1795,0
02/11/2020 14:45:00,-0.5451,-1.8306,0
02/11/2020 15:00:00,-0.0563,-1.8591,0
02/11/2020 15:15:00,0.0630,-1.5187,0
02/11/2020 15:30:00,0.2436,-1.6420,0
02/11/2020 15:45:00,0.0394,-1.2994,0
02/11/2020 16:00:00,0.8186,-1.3162,0
02/11/2020 16:15:00,0.2491,-1.2453,0
02/11/2020 16:30:00,-0.2887,-1.4821,0
02/11/2020 16:45:00,-0.3357,-1.0265,0
02/11/2020 17:00:00,-0.3257,-0.9771,0
02/11/2020 17:15:00,0.0996,-0.9247,0
02/11/2020 17:30:00,2.0212,-0.3424,0
02/11/2020 17:45:00,0.9369,3.8270,0
02/11/2020 18:00:00,-0.4983,3.3532,0
02/11/2020 18:15:00,-0.6824,2.6537,0
02/11/2020 18:30:00,-0.6072,2.1561,0
02/11/2020 18:45:00,0.3242,1.6076,0
02/11/2020 19:00:00,-0.3096,1.6716,0
02/11/2020 19:15:00,-1.2336,1.6747,0
02/11/2020 19:30:00,-1.3729,1.4681,0
02/11/2020 19:45:00,-0.2880,0.8103,0
02/11/2020 20:00:00,0.0921,1.2366,0
02/11/2020 20:15:00,-1.1375,0.9468,0
02/11/2020 20:30:00,-0.6790,-0.2395,0
02/11/2020 20:45:00,-0.9198,0.0197,0
02/11/2020 21:00:00,-1.0283,0.3907,0
02/11/2020 21:15:00,-1.6763,0.4278,0
02/11/2020 21:30:00,-2.1589,0.7014,0
02/11/2020 21:45:00,-1.6442,0.1387,0
02/11/2020 22:00:00,-1.2809,-0.3189,0
02/11/2020 22:15:00,-1.3397,-0.6966,0
02/11/2020 22:30:00,-1.1685,-1.3692,0
02/11/2020 22:45:00,-0.9331,-1.2502,0
02/11/2020 23:00:00,-0.8865,-0.9914,0
02/11/2020 23:15:00,-0.9163,-0.9914,0
02/11/2020 23:30:00,-1.1616,-1.5413,0
02/11/2020 23:45:00,-0.9888,-1.5517,0
03/11/2020 00:00:00,-0.8706,-1.3662,0
03/11/2020 00:15:00,-0.6932,-1.0879,0
03/11/2020 00:30:00,-0.4192,-0.6578,0
03/11/2020 00:45:00,-0.6717,-1.0542,0
03/11/2020 01:00:00,-0.6664,-1.0457,0
03/11/2020 01:15:00,-0.5051,-0.7927,0
03/11/2020 01:30:00,-0.8269,-1.3698,0
03/11/2020 01:45:00,-0.7389,-1.3739,0
03/11/2020 02:00:00,-0.8012,-1.4766,0
03/11/2020 02:15:00,-1.1783,-1.9519,0
03/11/2020 02:30:00,-1.3063,-2.3858,0
03/11/2020 02:45:00,-1.5193,-3.1641,0
03/11/2020 03:00:00,-1.8047,-3.9360,0
03/11/2020 03:15:00,-1.4347,-3.5188,0
03/11/2020 03:30:00,-1.4521,-3.2285,0
03/11/2020 03:45:00,-1.4789,-2.6331,0
03/11/2020 04:00:00,-1.0541,-2.2559,0
03/11/2020 04:15:00,-0.8819,-2.6680,0
03/11/2020 04:30:00,-0.8249,-2.9052,0
03/11/2020 04:45:00,-0.9413,-3.2879,0
03/11/2020 05:00:00,-0.6367,-2.7369,0
03/11/2020 05:15:00,-0.8871,-2.9286,0
03/11/2020 05:30:00,-1.4327,-4.1919,0
03/11/2020 05:45:00,-1.4908,-4.5100,0
03/11/2020 06:00:00,-1.4012,-4.4653,0
03/11/2020 06:15:00,-1.2248,-4.5790,0
03/11/2020 06:30:00,-1.3277,-4.3833,0
03/11/2020 06:45:00,-1.2455,-4.4801,0
03/11/2020 07:00:00,-1.8346,-4.8442,0
03/11/2020 07:15:00,-1.4045,-4.7674,0
03/11/2020 07:30:00,-1.2268,-4.4126,0
03/11/2020 07:45:00,-1.3084,-4.1695,0
03/11/2020 08:00:00,-1.5403,-4.3981,0
03/11/2020 08:15:00,-1.7353,-4.9549,0
03/11/2020 08:30:00,-1.9483,-5.1006,0
03/11/2020 08:45:00,-1.8151,-5.4454,0
03/11/2020 09:00:00,-1.6475,-5.3940,0
03/11/2020 09:15:00,-1.9113,-5.7823,0
03/11/2020 09:30:00,-1.8984,-5.5545,0
03/11/2020 09:45:00,-1.6563,-5.4227,0
03/11/2020 10:00:00,-1.1744,-5.1888,0
03/11/2020 10:15:00,-0.9108,-5.7685,0
03/11/2020 10:30:00,0.1251,-6.2287,0
03/11/2020 10:45:00,0.8548,-5.7063,0
03/11/2020 11:00:00,1.3800,-5.9316,0
03/11/2020 11:15:00,1.4946,-5.2203,0
03/11/2020 11:30:00,1.3553,-4.8751,0
03/11/2020 11:45:00,1.7628,-4.3785,0
03/11/2020 12:00:00,1.2005,-4.5544,0
03/11/2020 12:15:00,1.7030,-4.2301,0
03/11/2020 12:30:00,1.4599,-4.2355,0
03/11/2020 12:45:00,1.4849,-4.4171,0
03/11/2020 13:00:00,1.8816,-4.4810,0
03/11/2020 13:15:00,2.4618,-4.1555,0
03/11/2020 13:30:00,2.6540,-3.9515,0
03/11/2020 13:45:00,1.9857,-4.2930,0
03/11/2020 14:00:00,2.0231,-4.0643,0
03/11/2020 14:15:00,2.7804,-3.8018,0
03/11/2020 14:30:00,2.5841,-3.7571,0
03/11/2020 14:45:00,4.5453,-4.0982,0
03/11/2020 15:00:00,4.6876,-3.3816,0
03/11/2020 15:15:00,3.9976,-3.8210,0
03/11/2020 15:30:00,3.3137,-3.1326,0
03/11/2020 15:45:00,2.8171,-2.3208,0
03/11/2020 16:00:00,6.1499,2.6587,0
03/11/2020 16:15:00,4.4728,2.5121,0
03/11/2020 16:30:00,4.9638,3.5110,0
03/11/2020 16:45:00,4.4713,1.9550,0
03/11/2020 17:00:00,2.6326,1.4176,0
03/11/2020 17:15:00,1.0818,2.0524,0
03/11/2020 17:30:00,1.8370,2.1264,0
03/11/2020 17:45:00,0.8975,1.4320,0
03/11/2020 18:00:00,0.0148,1.2199,0
03/11/2020 18:15:00,-0.6601,1.2685,0
03/11/2020 18:30:00,-0.6848,0.9363,0
03/11/2020 18:45:00,-0.2890,0.2765,0
03/11/2020 19:00:00,-0.5365,0.5799,0
03/11/2020 19:15:00,-0.8892,0.4119,0
03/11/2020 19:30:00,2.1067,0.9475,0
03/11/2020 19:45:00,0.2912,-0.9567,0
03/11/2020 20:00:00,-0.7674,-0.9867,0
03/11/2020 20:15:00,-0.5500,-0.8352,0
03/11/2020 20:30:00,-0.3688,0.7435,0
03/11/2020 20:45:00,0.5126,0.0871,0
03/11/2020 21:00:00,0.1281,0.0220,0
03/11/2020 21:15:00,0.4426,-0.0812,0
03/11/2020 21:30:00,-0.4434,1.7136,0
03/11/2020 21:45:00,3.3390,2.2207,0
03/11/2020 22:00:00,2.5875,3.6939,0
03/11/2020 22:15:00,2.1832,3.5293,0
03/11/2020 22:30:00,1.8804,2.7483,0
03/11/2020 22:45:00,1.9312,2.8226,0
03/11/2020 23:00:00,1.8788,2.8936,0
03/11/2020 23:15:00,2.0788,2.4064,0
03/11/2020 23:30:00,2.3805,1.9858,0
