X,Y,Z
355286.413,6025778.048,1.663
355274.186,6025805.628,3.333
352213.201,6030782.534,-0.063
352209.286,6030773.504,-0.065
352205.276,6030763.930,-0.076
352200.960,6030754.828,-0.08
352196.953,6030745.828,-0.068
352188.954,6030727.002,-0.115
352216.826,6030791.259,-0.049
352221.440,6030800.498,-0.049
352225.289,6030809.293,-0.045
352228.903,6030817.847,-0.039
352234.001,6030827.600,-0.044
352238.370,6030836.487,-0.066
352242.572,6030845.436,-0.081
352247.180,6030855.242,-0.059
352251.103,6030863.458,-0.042
352255.414,6030872.522,-0.017
352258.733,6030881.263,-0.0080000004
352263.045,6030891.461,0.019
352267.175,6030900.038,0.014
352271.572,6030909.051,0.012
352276.164,6030917.715,0.032
352280.730,6030926.877,0.058
352284.240,6030936.003,0.083
352288.633,6030945.441,0.107
352293.013,6030954.271,0.107
352297.234,6030963.579,0.125
352301.730,6030972.594,0.159
352306.392,6030981.433,0.18
352309.927,6030991.200,0.194
352314.822,6030999.465,0.22
352318.001,6031009.199,0.258
352322.970,6031017.568,0.277
352285.538,6031028.699,0.337
352280.355,6031020.188,0.259
352275.769,6031011.197,0.213
352270.663,6031002.953,0.229
352265.690,6030993.907,0.212
352260.811,6030985.639,0.18
352255.721,6030976.705,0.191
352251.121,6030967.703,0.138
352245.740,6030959.782,0.089
352240.606,6030950.877,0.08
352235.883,6030942.332,0.031
352230.341,6030933.022,0.021
352225.698,6030924.451,0
352220.786,6030915.802,-0.0060000001
352215.538,6030907.104,-0.025
352210.801,6030898.784,-0.051
352205.543,6030889.976,-0.022
352200.385,6030881.030,-0.063
352195.265,6030872.727,-0.052
352190.543,6030864.608,-0.048
352185.528,6030855.596,-0.047
352180.829,6030847.138,-0.075
352175.705,6030838.515,-0.043
352170.745,6030829.965,-0.069
352165.688,6030820.740,-0.072
352160.898,6030811.868,-0.061
352142.780,6030776.814,-0.037
352084.369,6030796.257,-0.062
352080.193,6030787.857,-0.066
352075.409,6030778.471,-0.063
352071.007,6030768.181,-0.084
352088.140,6030805.722,-0.07
352092.873,6030814.281,-0.077
352098.328,6030822.447,-0.087
352102.489,6030830.946,-0.075
352107.720,6030839.659,-0.062
352113.071,6030849.029,-0.072
352119.000,6030857.264,-0.07
352125.245,6030864.868,-0.057
352130.442,6030872.808,-0.047
352136.271,6030880.691,-0.05
352141.491,6030888.982,-0.044
352146.952,6030896.784,-0.056
352153.609,6030905.784,-0.053
352159.365,6030913.662,-0.054
352164.820,6030922.199,-0.044
352170.439,6030930.590,-0.026
352175.999,6030938.379,-0.018
352182.258,6030946.652,0.0080000004
