Variable,Site
H,A4260630
SAL,A4260630
TEMP,A4260630
TRACE_1,No Site
TRACE_2,No Site
TRACE_3,No Site
TRACE_4,No Site
TRACE_5,No Site
WQ_NCS_SS1,EPA2014_Meningie
WQ_TRC_RET,No Site
WQ_OXY_OXY,EPA2014_Meningie
WQ_SIL_RSI,EPA2014_Meningie
WQ_NIT_AMM,EPA2014_Meningie
WQ_NIT_NIT,EPA2014_Meningie
WQ_PHS_FRP,EPA2014_Meningie
WQ_PHS_FRP_ADS,EPA2014_Meningie
WQ_OGM_DOC,EPA2014_Meningie
WQ_OGM_POC,EPA2014_Meningie
WQ_OGM_DON,EPA2014_Meningie
WQ_OGM_PON,SAW_Tailem_Bend
WQ_OGM_DOP,EPA2014_Meningie
WQ_OGM_POP,EPA2014_Meningie
WQ_PHY_GRN,EPA2014_Meningie
mag_ulva,No Site
mag_ulva_in,No Site
mag_ulva_ip,No Site
