Site,WQ_DIAG_PHY_TCHLA,WQ_DIAG_TOT_TKN,WQ_DIAG_TOT_TN,WQ_DIAG_TOT_TP,WQ_DIAG_TOT_TURBIDITY,WQ_NIT_AMM,WQ_NIT_NIT,WQ_OGM_DOC,WQ_PHS_FRP,WQ_PHY_GRN,WQ_SIL_RSI,pH,
Salt_Creek_West,x,x,x,x,x,x,x,x,x,x,x, ,
Salt_Creek_South_12,x,x,x,x,x,x,x,x,x,x,x, ,
Salt_Creek_South_3,x,x,x,x,x,x,x,x,x,x,x, ,
Bonneys,x,x,x,x,x,x,x, ,x,x,x,x,
Monument,x,x,x,x,x,x,x, ,x,x,x, ,
Currency,x,x, ,x,x,x,x,x,x,x,x,x,
Salt_Creek_Flow,x,x,x,x,x,x,x,x,x,x,x, ,
Ewe,x,x,x,x,x,x,x, ,x,x,x,x,
Finniss,x,x, ,x,x,x,x,x,x,x,x,x,
Goolwa,x,x, ,x,x,x,x,x,x,x,x,x,
Jockwar,x,x, ,x, ,x,x, ,x,x,x, ,
Albert_Middle,x,x, ,x,x,x,x,x,x,x,x,x,
Meningie,x,x, ,x,x,x,x,x,x,x,x,x,
Albert_Opening,x,x, ,x,x,x,x,x,x,x,x,x,
Alex_Middle,x,x, ,x,x,x,x,x,x,x,x,x,
Milang,x,x, ,x,x,x,x,x,x,x,x,x,
Poltalloch,x,x, ,x,x,x,x,x,x,x,x,x,
Wellington,x,x, ,x,x,x,x,x,x,x,x,x,
Mcleay,x,x, ,x,x,x,x,x,x,x,x,x,
Long,x,x,x,x,x,x,x,x,x,x,x,x,
Loveday,x,x, ,x, ,x,x, ,x,x,x, ,
Mark,x,x,x,x,x,x,x, ,x,x,x,x,
McGrath,x,x,x,x,x,x,x,x,x,x,x, ,
Morella,x,x,x,x,x,x,x,x,x,x,x, ,
Mundoo,x,x,x,x, ,x,x, ,x,x,x, ,
Mouth,x,x,x,x,x,x,x, ,x,x,x, ,
Narrung,x,x, ,x, ,x,x, ,x,x,x, ,
North_Jack,x,x,x,x,x,x,x,x,x,x,x,x,
Parnka_Point,x,x,x,x,x,x,x,x,x,x,x, ,
Salt_Creek,x,x,x,x, ,x,x, ,x,x, , ,
Salt_Creek_2,x,x,x,x, ,x,x, ,x,x, , ,
Seagull_Island,x,x,x,x,x,x,x,x,x,x,x, ,
Snipe_Point,x,x,x,x,x,x,x,x,x,x,x, ,
Salt,x,x,x,x,x,x,x, ,x,x,x,x,
Stoney_Well,x,x,x,x,x,x,x,x,x,x,x, ,
Tauwitcherie,x,x,x,x,x,x,x,x,x,x,x,x,
Tauwitchere_Barrage, , , , ,x, , , , , ,x,x,
Tauwitchere_Barrage_Upstream_Upstream, , , , ,x, , , , , ,x,x,
Yumpa,x,x,x,x,x,x,x,x,x,x,x,x,
