CPS,Indicator,System,Start Time,End Time,Var,Trigger,Extent (km)
Fish diversity (species richness/biodisparity,Salinity,Transect,01-04-2020,01-10-2020,SAL,30.0000,49.9337
Fish diversity (species richness/biodisparity,Salinity,Transect,01-10-2020,01-03-2021,SAL,30.0000,44.2483
Fish diversity (species richness/biodisparity,Salinity,Transect,01-04-2020,01-10-2020,SAL,60.0000,78.1559
Fish diversity (species richness/biodisparity,Salinity,Transect,01-10-2020,01-03-2021,SAL,60.0000,62.8679
Fish diversity (species richness/biodisparity,Salinity,Transect,01-04-2020,01-10-2020,SAL,100.0000,100.9934
Fish diversity (species richness/biodisparity,Salinity,Transect,01-10-2020,01-03-2021,SAL,100.0000,102.2612
Waterbirds (Shorebirds),Salinity,Transect,01-09-2020,01-05-2021,SAL,140.0000,117.6523
Waterbirds (Piscivores),Salinity,Transect,01-09-2020,01-05-2021,SAL,45.0000,57.5710
Waterbirds (Piscivores),Salinity,Transect,01-09-2020,01-05-2021,SAL,100.0000,105.8994
Waterbirds (Piscivores),Salinity,Transect,01-01-2020,01-01-2021,SAL,60.0000,71.7957
