ISOTime,SAL,TEMP,TRACE_1,AGE,SS1,OXY,RSI,AMM,NIT,FRP,FRP_ADS,DOC,POC,DON,PON,DOP,POP,GRN
01/01/2012 00:00:00,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,260.2619,0.0000,0.0000,0.0000
01/01/2012 01:00:00,13.2445,29.7831,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,260.2619,0.0000,0.0000,0.0000
01/01/2012 02:00:00,13.2507,29.7952,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,260.2619,0.0000,0.0000,0.0000
01/01/2012 03:00:00,13.2570,29.8074,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,260.2619,0.0000,0.0000,0.0000
01/01/2012 04:00:00,13.2632,29.8195,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,260.2619,0.0000,0.0000,0.0000
01/01/2012 05:00:00,13.2694,29.8316,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,260.2619,0.0000,0.0000,0.0000
01/01/2012 06:00:00,13.2756,29.8438,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,260.2619,0.0000,0.0000,0.0000
01/01/2012 07:00:00,13.2819,29.8559,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,260.2619,0.0000,0.0000,0.0000
01/01/2012 08:00:00,13.2881,29.8680,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,260.2619,0.0000,0.0000,0.0000
01/01/2012 09:00:00,13.2943,29.8802,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,260.2619,0.0000,0.0000,0.0000
