variable,mean,sd,min,max,min.trans,max.trans
AvgOfEC_us_cm,8.642643712,1.429903823,4.890349128,11.10796023,-2.62415871840987,1.72411352484082
AvgOfTurbidity_NTU,84.81395974,106.3514999,0,663,-0.797487199071662,5.43655746267242
PropCoverage,0.124854622,0.146432474,0,0.5544041,-0.852642986977855,2.93343046105092
Area0to5,5894.495413,6714.035731,0,24900,-0.877936259115582,2.83071245818496
AreaGreater20,2156.37105,2798.908804,0,11100,-0.770432765509021,3.19539848480027
Area,96213.86624,38814.40619,14475.41303,162764.6524,-2.1058792657515,1.7145898323477
