ID,NCS_fs1,NCS_fs2,NCS_fs3
1,31.0000,131.0000,1031.0000
2,31.0000,131.0000,1031.0000
3,31.0000,131.0000,1031.0000
4,31.0000,131.0000,1031.0000
5,31.0000,131.0000,1031.0000
6,31.0000,131.0000,1031.0000
7,31.0000,131.0000,1031.0000
8,31.0000,131.0000,1031.0000
9,31.0000,131.0000,1031.0000
10,31.0000,131.0000,1031.0000
11,31.0000,131.0000,1031.0000
12,31.0000,131.0000,1031.0000
13,31.0000,131.0000,1031.0000
14,31.0000,131.0000,1031.0000
15,31.0000,131.0000,1031.0000
16,31.0000,131.0000,1031.0000
17,31.0000,131.0000,1031.0000
18,31.0000,131.0000,1031.0000
19,31.0000,131.0000,1031.0000
20,31.0000,131.0000,1031.0000
21,31.0000,131.0000,1031.0000
22,31.0000,131.0000,1031.0000
23,31.0000,131.0000,1031.0000
24,31.0000,131.0000,1031.0000
25,31.0000,131.0000,1031.0000
26,31.0000,131.0000,1031.0000
27,31.0000,131.0000,1031.0000
28,31.0000,131.0000,1031.0000
29,31.0000,131.0000,1031.0000
30,31.0000,131.0000,1031.0000
31,31.0000,131.0000,1031.0000
32,31.0000,131.0000,1031.0000
33,31.0000,131.0000,1031.0000
34,31.0000,131.0000,1031.0000
35,31.0000,131.0000,1031.0000
36,31.0000,131.0000,1031.0000
37,31.0000,131.0000,1031.0000
38,31.0000,131.0000,1031.0000
39,31.0000,131.0000,1031.0000
40,31.0000,131.0000,1031.0000
41,31.0000,131.0000,1031.0000
42,31.0000,131.0000,1031.0000
43,31.0000,131.0000,1031.0000
44,31.0000,131.0000,1031.0000
45,31.0000,131.0000,1031.0000
46,31.0000,131.0000,1031.0000
47,31.0000,131.0000,1031.0000
48,31.0000,131.0000,1031.0000
49,31.0000,131.0000,1031.0000
50,31.0000,131.0000,1031.0000
51,31.0000,131.0000,1031.0000
52,31.0000,131.0000,1031.0000
53,31.0000,131.0000,1031.0000
54,31.0000,131.0000,1031.0000
55,31.0000,131.0000,1031.0000
56,31.0000,131.0000,1031.0000
57,31.0000,131.0000,1031.0000
58,31.0000,131.0000,1031.0000
59,31.0000,131.0000,1031.0000
60,31.0000,131.0000,1031.0000
61,31.0000,131.0000,1031.0000
62,31.0000,131.0000,1031.0000
63,31.0000,131.0000,1031.0000
64,31.0000,131.0000,1031.0000
65,31.0000,131.0000,1031.0000
66,31.0000,131.0000,1031.0000
67,31.0000,131.0000,1031.0000
68,31.0000,131.0000,1031.0000
69,31.0000,131.0000,1031.0000
70,31.0000,131.0000,1031.0000
71,31.0000,131.0000,1031.0000
72,31.0000,131.0000,1031.0000
73,31.0000,131.0000,1031.0000
74,31.0000,131.0000,1031.0000
75,31.0000,131.0000,1031.0000
76,31.0000,131.0000,1031.0000
77,31.0000,131.0000,1031.0000
78,31.0000,131.0000,1031.0000
79,31.0000,131.0000,1031.0000
80,31.0000,131.0000,1031.0000
81,31.0000,131.0000,1031.0000
82,31.0000,131.0000,1031.0000
83,31.0000,131.0000,1031.0000
84,31.0000,131.0000,1031.0000
85,31.0000,131.0000,1031.0000
86,31.0000,131.0000,1031.0000
87,31.0000,131.0000,1031.0000
88,31.0000,131.0000,1031.0000
89,31.0000,131.0000,1031.0000
90,31.0000,131.0000,1031.0000
91,31.0000,131.0000,1031.0000
92,31.0000,131.0000,1031.0000
93,31.0000,131.0000,1031.0000
94,31.0000,131.0000,1031.0000
95,31.0000,131.0000,1031.0000
96,31.0000,131.0000,1031.0000
97,31.0000,131.0000,1031.0000
98,31.0000,131.0000,1031.0000
99,31.0000,131.0000,1031.0000
100,31.0000,131.0000,1031.0000
101,31.0000,131.0000,1031.0000
102,31.0000,131.0000,1031.0000
103,31.0000,131.0000,1031.0000
104,31.0000,131.0000,1031.0000
105,31.0000,131.0000,1031.0000
106,31.0000,131.0000,1031.0000
107,31.0000,131.0000,1031.0000
108,31.0000,131.0000,1031.0000
109,31.0000,131.0000,1031.0000
110,31.0000,131.0000,1031.0000
111,31.0000,131.0000,1031.0000
112,31.0000,131.0000,1031.0000
113,31.0000,131.0000,1031.0000
114,31.0000,131.0000,1031.0000
115,31.0000,131.0000,1031.0000
116,31.0000,131.0000,1031.0000
117,31.0000,131.0000,1031.0000
118,31.0000,131.0000,1031.0000
119,31.0000,131.0000,1031.0000
120,31.0000,131.0000,1031.0000
121,31.0000,131.0000,1031.0000
122,31.0000,131.0000,1031.0000
123,31.0000,131.0000,1031.0000
124,31.0000,131.0000,1031.0000
125,31.0000,131.0000,1031.0000
126,31.0000,131.0000,1031.0000
127,31.0000,131.0000,1031.0000
128,31.0000,131.0000,1031.0000
129,31.0000,131.0000,1031.0000
130,31.0000,131.0000,1031.0000
131,31.0000,131.0000,1031.0000
132,31.0000,131.0000,1031.0000
133,31.0000,131.0000,1031.0000
134,31.0000,131.0000,1031.0000
135,31.0000,131.0000,1031.0000
136,31.0000,131.0000,1031.0000
137,31.0000,131.0000,1031.0000
138,31.0000,131.0000,1031.0000
139,31.0000,131.0000,1031.0000
140,31.0000,131.0000,1031.0000
141,31.0000,131.0000,1031.0000
142,31.0000,131.0000,1031.0000
143,31.0000,131.0000,1031.0000
144,31.0000,131.0000,1031.0000
145,31.0000,131.0000,1031.0000
146,31.0000,131.0000,1031.0000
147,31.0000,131.0000,1031.0000
148,31.0000,131.0000,1031.0000
149,31.0000,131.0000,1031.0000
150,31.0000,131.0000,1031.0000
151,31.0000,131.0000,1031.0000
152,31.0000,131.0000,1031.0000
153,31.0000,131.0000,1031.0000
154,31.0000,131.0000,1031.0000
155,31.0000,131.0000,1031.0000
156,31.0000,131.0000,1031.0000
157,31.0000,131.0000,1031.0000
158,31.0000,131.0000,1031.0000
159,31.0000,131.0000,1031.0000
160,31.0000,131.0000,1031.0000
161,31.0000,131.0000,1031.0000
162,31.0000,131.0000,1031.0000
163,31.0000,131.0000,1031.0000
164,31.0000,131.0000,1031.0000
165,31.0000,131.0000,1031.0000
166,31.0000,131.0000,1031.0000
167,31.0000,131.0000,1031.0000
168,31.0000,131.0000,1031.0000
169,31.0000,131.0000,1031.0000
170,31.0000,131.0000,1031.0000
171,31.0000,131.0000,1031.0000
172,31.0000,131.0000,1031.0000
173,31.0000,131.0000,1031.0000
174,31.0000,131.0000,1031.0000
175,31.0000,131.0000,1031.0000
176,31.0000,131.0000,1031.0000
177,31.0000,131.0000,1031.0000
178,31.0000,131.0000,1031.0000
179,31.0000,131.0000,1031.0000
180,31.0000,131.0000,1031.0000
181,31.0000,131.0000,1031.0000
182,31.0000,131.0000,1031.0000
183,31.0000,131.0000,1031.0000
184,31.0000,131.0000,1031.0000
185,31.0000,131.0000,1031.0000
186,31.0000,131.0000,1031.0000
187,31.0000,131.0000,1031.0000
188,31.0000,131.0000,1031.0000
189,31.0000,131.0000,1031.0000
190,31.0000,131.0000,1031.0000
191,31.0000,131.0000,1031.0000
192,31.0000,131.0000,1031.0000
193,31.0000,131.0000,1031.0000
194,31.0000,131.0000,1031.0000
195,31.0000,131.0000,1031.0000
196,31.0000,131.0000,1031.0000
197,31.0000,131.0000,1031.0000
198,31.0000,131.0000,1031.0000
199,31.0000,131.0000,1031.0000
200,31.0000,131.0000,1031.0000
201,31.0000,131.0000,1031.0000
