Site,SAL,TEMP,WQ_CAR_PH,WQ_DIAG_PHY_TCHLA,WQ_DIAG_TOT_TDS,WQ_DIAG_TOT_TKN,WQ_DIAG_TOT_TP,WQ_DIAG_TOT_TURBIDITY,WQ_NIT_NIT,WQ_OGM_DOC,WQ_OXY_OXY,WQ_PHS_FRP,WQ_SIL_RSI,WQ_TRC_SS1,
Goolwa_US,x,x,x, ,x, , ,x, , , , , , ,
Milang,x,x,x,x,x, , ,x, , , , , , ,
Murray_Bridge_SP,x,x,x, ,x,x,x,x, ,x,x,x,x, ,
Cowirra,x,x,x, ,x, , ,x, ,x,x, , , ,
Mannum,x,x,x, ,x,x,x,x,x,x,x,x,x, ,
Mypolonga,x,x,x, ,x, , ,x, ,x,x, , , ,
Tailem_Bend,x,x,x,x,x,x,x,x, ,x,x,x,x,x,
Swan_Reach_SP,x,x,x, ,x,x,x,x,x,x,x,x,x,x,
Blanchetown,x,x,x, ,x, , ,x, ,x,x, , , ,
Swan_Reach_Town,x,x,x, ,x, , ,x, ,x,x, , , ,
Morgan,x,x,x,x,x,x,x,x, ,x,x,x,x,x,
Cadell,x,x,x, ,x, , ,x, ,x,x, , , ,
Waikerie_SP,x,x,x, ,x,x,x,x,x,x,x,x, , ,
Woolpunda_SP,x,x,x, ,x, , ,x, ,x,x, , ,x,
Moorook,x,x,x, ,x,x,x,x,x,x,x,x, , ,
Cobdogla,x,x,x, ,x, , ,x, ,x,x, , , ,
Loxton,x,x,x, ,x,x,x,x,x,x,x,x, , ,
Berri,x,x,x, ,x, , ,x, ,x,x, , , ,
Renmark_SP,x,x,x, ,x,x,x,x,x,x,x,x,x, ,
DS_lock6_11km,x, ,x, ,x,x,x,x,x,x, ,x, , ,
