Site,X,Y,Num. Vars,Start Date,End Date,Total Samples at Site
Goolwa_US,300736.1481,6067071.1500,5,04-01-2019,01-07-2021,655
Milang,321246.0000,6076714.0000,6,04-01-2019,25-06-2021,774
Murray_Bridge_SP,344103.3166,6114649.1354,11,02-01-2019,29-06-2021,1539
Cowirra,345448.0327,6133472.9896,7,09-01-2019,29-06-2021,748
Mannum,345582.4197,6134550.1910,12,09-01-2019,29-06-2021,1331
Mypolonga,350675.0977,6120318.6136,7,02-01-2019,29-06-2021,777
Tailem_Bend,359744.5370,6095955.6978,13,03-01-2019,30-06-2021,1713
Swan_Reach_SP,368784.3341,6181218.6471,13,03-01-2019,01-07-2021,1379
Blanchetown,372671.0359,6198163.0675,7,02-01-2019,30-06-2021,777
Swan_Reach_Town,372996.8201,6174338.1745,7,03-01-2019,01-07-2021,772
Morgan,378910.2154,6234729.0081,13,03-01-2019,01-07-2021,1799
Cadell,386972.1725,6233389.3050,7,03-01-2019,01-07-2021,777
Waikerie_SP,406657.0790,6217852.0882,11,02-01-2019,30-06-2021,1183
Woolpunda_SP,427887.0506,6218118.9007,8,02-01-2019,30-06-2021,805
Moorook,441771.0259,6206056.9660,11,02-01-2019,30-06-2021,1177
Cobdogla,444344.0186,6210828.9781,7,02-01-2019,30-06-2021,793
Loxton,460819.0815,6188570.9460,11,02-01-2019,29-06-2021,1198
Berri,463241.4740,6205745.0833,7,03-01-2019,30-06-2021,785
Renmark_SP,477269.8196,6219298.5594,12,02-01-2019,29-06-2021,1343
DS_lock6_11km,486860.0235,6236360.2149,9,02-01-2019,29-06-2021,806
