Site ,Shortname,Latitude,Longitude
Noonameena,NM,-35.7581,139.2621833
Parnka Point,PK,-35.90266,139.39676
Policemans Point,PM,-36.05783,139.58403
South of Salt Creek,SC,-36.1328,139.6114
Near Swan Island,GS,-35.9516,139.4917
Villa de Yumpa,VdV,-35.9281941,139.4389681
