Var,1,2,3,4,5,6,7,8,9,10,11,12,
H,0.3535,0.3378,Unknown,0.4200,0.2105,0.1762,Unknown,Unknown,0.4374,Unknown,0.3007,0.8029,
SAL,22.8133,31.5517,0.0000,33.1395,27.1684,31.8126,0.0000,0.0000,86.6352,72.8269,98.2207,53.6885,
TEMP,17.8990,16.7219,0.0000,17.4788,17.6270,17.7751,0.0000,0.0000,18.2332,22.7000,17.8255,18.3029,
TRACE_1,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,
WQ_TRC_AGE,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,
WQ_NCS_SS1,0.0000,0.0000,0.0000,0.0000,0.0000,11.4682,0.0000,0.0000,16.8253,16.4025,14.9137,15.0050,
WQ_OXY_OXY,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,171.8820,0.0000,
WQ_SIL_RSI,0.0000,0.0000,0.0000,0.0000,0.0000,8.8078,0.0000,0.0000,40.4211,22.5089,78.7367,111.3879,
WQ_NIT_AMM,0.0000,Unknown,0.0000,0.0000,0.0000,3.5000,0.0000,0.0000,1.5595,0.3929,0.5000,1.6027,
WQ_NIT_NIT,0.0000,Unknown,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,4.0089,0.2857,0.0000,0.2902,
WQ_PHS_FRP,0.0000,Unknown,0.0000,0.0000,0.0000,0.1694,0.0000,0.0000,0.1102,0.1371,0.1129,0.1774,
WQ_PHS_FRP_ADS,0.0000,Unknown,0.0000,0.0000,0.0000,0.0169,0.0000,0.0000,0.0110,0.0137,0.0113,0.0177,
WQ_OGM_DOC,0.0000,Unknown,0.0000,0.0000,0.0000,829.1667,0.0000,0.0000,1657.6389,1725.0000,1837.5000,1893.2292,
WQ_OGM_POC,0.0000,Unknown,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
WQ_OGM_DON,0.0000,Unknown,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
WQ_OGM_PON,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,0.0000,
WQ_OGM_DOP,0.0000,Unknown,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
WQ_OGM_POP,0.0000,Unknown,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
WQ_PHY_GRN,0.0000,Unknown,0.0000,0.0000,0.0000,14.0156,0.0000,0.0000,105.7697,184.6354,260.7925,235.4167,
WQ_DIAG_TOT_TN,0.0000,Unknown,0.0000,0.0000,0.0000,158.3929,0.0000,0.0000,290.4762,313.3929,348.2143,381.9063,
WQ_DIAG_TOT_TP,0.0000,Unknown,0.0000,0.0000,0.0000,2.0726,0.0000,0.0000,5.7661,5.4919,5.1048,6.6391,
