Site,X,Y,Num. Vars,Start Date,End Date,Total Samples at Site
Monument_Road,303166.9700,6066522.2484,7,15-11-2004,04-12-2020,112
Mundoo_Channel,309748.8703,6065331.1792,7,15-11-2004,04-12-2020,112
Ewe_Island,314774.8644,6063185.8258,7,15-11-2004,04-12-2020,112
Pelican_Point,320769.4492,6059405.6510,7,15-11-2004,04-12-2020,112
Mulbin_Yerrok,331560.4533,6051160.4246,7,15-11-2004,04-12-2020,112
Noonameena,342886.5465,6041518.2095,7,15-11-2004,04-12-2020,105
Parnka_Point,355692.7083,6026304.0566,7,15-11-2004,04-12-2020,112
Villa_de_Yumpa,360505.5157,6024817.0738,7,15-11-2004,04-12-2020,112
Jack_Point,371143.7022,6011604.1821,7,15-11-2004,04-12-2020,112
Loop_Road,378704.3331,5996571.3643,7,15-11-2004,04-12-2020,112
Hunters_Creek,308673.8311,6065406.2516,7,15-11-2005,04-12-2020,105
