Site,X,Y,Num. Vars,Start Date,End Date,Total Samples at Site,Conductivity,ON,OP,SAL,TEMP,WQ_CAR_DIC,WQ_CAR_PH,WQ_DIAG_PHY_TCHLA,WQ_DIAG_TOT_TAL,WQ_DIAG_TOT_TFE,WQ_DIAG_TOT_TKN,WQ_DIAG_TOT_TN,WQ_DIAG_TOT_TOC,WQ_DIAG_TOT_TP,WQ_DIAG_TOT_TSS,WQ_DIAG_TOT_TURBIDITY,WQ_GEO_AL,WQ_GEO_CA,WQ_GEO_CALCITE,WQ_GEO_CL,WQ_GEO_FEII,WQ_GEO_K,WQ_GEO_MG,WQ_GEO_MN,WQ_GEO_NA,WQ_GEO_SO4,WQ_NCS_SS1,WQ_NIT_AMM,WQ_NIT_NIT,WQ_OGM_DOC,WQ_OGM_DON,WQ_OGM_DOP,WQ_OGM_POC,WQ_OGM_PON,WQ_OGM_POP,WQ_OXY_OXY,WQ_PHS_FRP,WQ_PHS_FRP_ADS,WQ_PHY_GRN,WQ_SIL_RSI,WQ_TRC_SS1,pH
EPA_Salt_Creek_West,375882,6000470,22,21/07/2014,11/02/2016,886, ,x,x, , , , ,x, , ,x,x, ,x,x,x, , , , , , , , , , ,x,x,x,x,x,x,x,x,x, ,x,x,x,x,x, 
EPA_Salt_Creek_South_12,377597,6000430,22,11/09/2012,8/06/2016,2152, ,x,x, , , , ,x, , ,x,x, ,x,x,x, , , , , , , , , , ,x,x,x,x,x,x,x,x,x, ,x,x,x,x,x, 
EPA_Salt_Creek_South_3,377570,5997290,22,21/07/2014,8/06/2016,1022, ,x,x, , , , ,x, , ,x,x, ,x,x,x, , , , , , , , , , ,x,x,x,x,x,x,x,x,x, ,x,x,x,x,x, 
EPA_Bonneys,347969,6037304,21,12/09/2012,6/01/2016,444, ,x,x, , , , ,x, , ,x,x, ,x,x,x, , , , , , , , , , ,x,x,x, ,x,x, ,x,x, ,x,x,x,x,x,x
EPA_Monument,302097,6066373,20,27/02/2008,6/01/2016,924, ,x,x, , , , ,x, , ,x,x, ,x,x,x, , , , , , , , , , ,x,x,x, ,x,x, ,x,x, ,x,x,x,x,x, 
EPA_Currency,301809,6071434,20,4/08/2008,3/02/2016,3562, ,x,x, , , , ,x, , ,x, , ,x,x,x, , , , , , , , , , ,x,x,x,x, ,x,x, ,x, ,x,x,x,x,x,x
EPA_Salt_Creek_Flow,378811,6001360,21,3/07/2013,8/06/2016,992, ,x,x, , , , ,x, , ,x,x, ,x,x,x, , , , , , , , , , ,x,x,x,x,x,x, ,x,x, ,x,x,x,x,x, 
EPA_Ewe,315213,6062103,21,14/07/2014,6/01/2016,388, ,x,x, , , , ,x, , ,x,x, ,x,x,x, , , , , , , , , , ,x,x,x, ,x,x, ,x,x, ,x,x,x,x,x,x
EPA_Finniss,308113,6073436,20,15/07/2014,4/02/2016,354, ,x,x, , , , ,x, , ,x, , ,x,x,x, , , , , , , , , , ,x,x,x,x, ,x,x, ,x, ,x,x,x,x,x,x
EPA_Goolwa,300692,6067199,20,15/07/2014,21/04/2016,396, ,x,x, , , , ,x, , ,x, , ,x,x,x, , , , , , , , , , ,x,x,x,x, ,x,x, ,x, ,x,x,x,x,x,x
EPA_Jockwar,351368,6083419,13,3/10/2013,23/01/2015,294, ,x,x, , , , ,x, , ,x, , ,x, , , , , , , , , , , , , ,x,x, , ,x, , ,x, ,x,x,x,x, , 
EPA_Albert_Middle,345944.681,6059687.293,20,15/07/2014,10/02/2016,276, ,x,x, , , , ,x, , ,x, , ,x,x,x, , , , , , , , , , ,x,x,x,x, ,x,x, ,x, ,x,x,x,x,x,x
EPA_Meningie,348605,6052257,20,15/07/2014,20/04/2016,394, ,x,x, , , , ,x, , ,x, , ,x,x,x, , , , , , , , , , ,x,x,x,x, ,x,x, ,x, ,x,x,x,x,x,x
EPA_Albert_Opening,344391,6063658,20,29/04/2008,10/02/2016,4339, ,x,x, , , , ,x, , ,x, , ,x,x,x, , , , , , , , , , ,x,x,x,x, ,x,x, ,x, ,x,x,x,x,x,x
EPA_Alex_Middle,333094,6077943,20,5/08/2008,9/02/2016,4096, ,x,x, , , , ,x, , ,x, , ,x,x,x, , , , , , , , , , ,x,x,x,x, ,x,x, ,x, ,x,x,x,x,x,x
EPA_Milang,321246,6076714,20,15/07/2014,21/04/2016,318, ,x,x, , , , ,x, , ,x, , ,x,x,x, , , , , , , , , , ,x,x,x,x, ,x,x, ,x, ,x,x,x,x,x,x
EPA_Poltalloch,338099,6074142,20,23/01/2008,20/04/2016,3909, ,x,x, , , , ,x, , ,x, , ,x,x,x, , , , , , , , , , ,x,x,x,x, ,x,x, ,x, ,x,x,x,x,x,x
EPA_Wellington,353269,6089030,20,15/07/2014,10/02/2016,276, ,x,x, , , , ,x, , ,x, , ,x,x,x, , , , , , , , , , ,x,x,x,x, ,x,x, ,x, ,x,x,x,x,x,x
EPA_Mcleay,323335,6067400,20,15/07/2014,9/02/2016,356, ,x,x, , , , ,x, , ,x, , ,x,x,x, , , , , , , , , , ,x,x,x,x, ,x,x, ,x, ,x,x,x,x,x,x
EPA_Long,333756,6048257,23,12/09/2012,8/06/2016,2018, ,x,x, , , , ,x, , ,x,x, ,x,x,x, , , , , , , , , , ,x,x,x,x,x,x,x,x,x, ,x,x,x,x,x,x
EPA_Loveday,325777,6062037,13,18/09/2014,22/01/2015,130, ,x,x, , , , ,x, , ,x, , ,x, , , , , , , , , , , , , ,x,x, , ,x, , ,x, ,x,x,x,x, , 
