!				1				2			3			4			5			6			7
&bc
headings1 = 	timestep, 	time, 	      oxy,		  nit,		  amm,		 frp, 	      pocl
forzone   =  	0,			   0,			1,			1,			1,			1,			1
swibc 	  =     1,             0,       235.5625,      0.2857,      0.3571,      0.0968,      0.0000
                2,         0.50       176.5400,      0.1958,      0.8373,      0.0536,      -0.0019
                3,         1.00       164.0887,      0.1013,      1.2189,      0.0864,      -0.0015
                4,         1.50       167.2149,      0.0612,      1.2913,      0.0656,      -0.0011
                5,         2.00       159.8507,      0.0252,      1.0194,      0.0762,      -0.0010
                6,         2.50       162.5945,      0.0234,      1.0417,      0.0586,      -0.0008
                7,         3.00       162.9313,      0.0117,      0.7606,      0.0651,      -0.0006
                8,         3.50       171.6463,      0.0126,      0.7123,      0.0490,      -0.0006
                9,         4.00       172.2526,      0.0221,      0.5786,      0.0620,      -0.0006
                10,         4.50       179.1920,      0.0140,      0.3959,      0.0335,      -0.0005
                11,         5.00       170.1364,      0.0158,      0.5007,      0.0594,      -0.0005
                12,         5.50       173.2196,      0.0152,      0.5006,      0.0487,      -0.0004
                13,         6.00       167.6355,      0.0089,      0.3450,      0.0496,      -0.0003
                14,         6.50       165.6125,      0.0053,      0.2142,      0.0329,      -0.0002
                15,         7.00       162.9988,      0.0037,      0.3024,      0.0484,      -0.0002
                16,         7.50       159.6759,      0.0018,      0.1559,      0.0351,      -0.0002
                17,         8.00       153.7615,      0.0024,      0.3034,      0.0544,      -0.0002
                18,         8.50       152.6984,      0.0019,      0.1797,      0.0430,      -0.0001
                19,         9.00       153.5115,      0.0026,      0.3277,      0.0648,      -0.0001
                20,         9.50       162.4412,      0.0023,      0.2150,      0.0567,      -0.0001
                21,         10.00       162.2579,      0.0024,      0.3086,      0.0718,      -0.0001
                22,         10.50       166.3561,      0.0023,      0.2167,      0.0643,      -0.0001
                23,         11.00       166.1812,      0.0024,      0.3022,      0.0788,      -0.0001
                24,         11.50       168.0856,      0.0053,      0.3431,      0.0836,      -0.0001
                25,         12.00       166.8950,      0.0113,      0.3656,      0.0879,      -0.0001
                26,         12.50       168.9379,      0.0302,      0.7321,      0.1221,      -0.0001
