!				1				2			3			4			5			6			7,
&bc
headings1 = 	timestep, 	time, 	      oxy,		  nit,		  amm,		 frp, 	      pocl,
forzone   =  	0,			   0,			1,			1,			1,			1,			1,
swibc 	  =     1,             0,       0.0000,      0.0000,      0.0000,      0.0000,      0.0000,
                2,         0.50,       0.8854,      0.0007,      0.0035,      0.0003,      0.0000,
                3,         1.00,       2.1949,      0.0009,      0.0077,      0.0006,      0.0000,
                4,         1.50,       11.8394,      0.0051,      0.0887,      0.0040,      0.0000,
                5,         2.00,       16.7178,      0.0062,      0.1206,      0.0050,      0.0000,
                6,         2.50,       24.0109,      0.0084,      0.1819,      0.0070,      0.0000,
                7,         3.00,       32.4332,      0.0100,      0.2365,      0.0084,      0.0000,
                8,         3.50,       23.0521,      0.0068,      0.1661,      0.0057,      0.0000,
                9,         4.00,       272.7059,      0.1005,      0.8133,      0.0224,      11514.1162,
                10,         4.50,       118.4927,      0.6443,      2.0744,      0.0267,      7762.6207,
                11,         5.00,       308.9726,      1.2934,      2.8736,      0.0261,      7499.8645,
                12,         5.50,       290.8376,      1.2924,      2.8818,      0.0261,      3996.7871,
                13,         6.00,       283.1970,      1.2276,      2.8653,      0.0284,      1904.8333,
                14,         6.50,       251.7381,      1.0913,      2.5489,      0.0253,      1.7904,
                15,         7.00,       240.7631,      1.0435,      2.4392,      0.0242,      1.7429,
                16,         7.50,       239.4876,      1.0388,      2.4375,      0.0244,      1.5744,
                17,         8.00,       238.0215,      1.0324,      2.4263,      0.0243,      0.1239,
                18,         8.50,       237.3677,      1.0306,      2.4395,      0.0248,      0.1314,
                19,         9.00,       237.4149,      1.0304,      2.4598,      0.0253,      0.0607,
                20,         9.50,       240.5304,      1.0400,      2.5556,      0.0277,      0.0564,
                21,         10.00,       241.0978,      1.0413,      2.5789,      0.0282,      0.0476,
                22,         10.50,       244.2568,      1.0488,      2.6799,      0.0310,      0.0622,
                23,         11.00,       245.5925,      1.0509,      2.7363,      0.0325,      0.0444,
                24,         11.50,       237.0368,      1.0098,      2.7048,      0.0336,      0.0304,
                25,         12.00,       209.7919,      0.8921,      2.4306,      0.0310,      0.0869,
                26,         12.50,       186.6902,      0.7954,      2.2318,      0.0301,      0.0545,
                27,         13.00,       181.3102,      0.7734,      2.2345,      0.0314,      0.1034,
                28,         13.50,       182.3821,      0.7791,      2.3088,      0.0337,      0.0941,
                29,         14.00,       180.7113,      0.7702,      2.3252,      0.0343,      0.0685,
                30,         14.50,       177.3079,      0.7544,      2.2840,      0.0337,      0.0756,
                31,         15.00,       174.7522,      0.7424,      2.2503,      0.0331,      0.0291,
                32,         15.50,       173.7422,      0.7393,      2.2673,      0.0337,      0.0192,
                33,         16.00,       173.9409,      0.7413,      2.3028,      0.0344,      0.0120,
                34,         16.50,       172.9435,      0.7390,      2.3578,      0.0359,      0.0214,
                35,         17.00,       165.7796,      0.7094,      2.3089,      0.0354,      0.0013,
                36,         17.50,       159.3612,      0.6855,      2.3055,      0.0362,      0.0293,
                37,         18.00,       157.3908,      0.6780,      2.3275,      0.0358,      0.1460,
                38,         18.50,       50.3120,      1.3933,      3.9710,      0.0378,      23.7549,
                39,         19.00,       291.5540,      1.4810,      3.8865,      0.0362,      22.2231,
                40,         19.50,       405.9599,      1.4807,      3.6450,      0.0299,      26.5520,
                41,         20.00,       462.3835,      1.5951,      3.6193,      0.0343,      18.5266,
                42,         20.50,       298.2888,      1.5028,      3.3484,      0.0329,      14.4651,
                43,         21.00,       152.1072,      1.0380,      2.5460,      0.0314,      18.2929,
                44,         21.50,       308.8376,      1.0073,      2.3384,      0.0268,      0.1552,
                45,         22.00,       297.3802,      0.9738,      2.2607,      0.0258,      0.0202,
                46,         22.50,       290.2528,      0.9535,      2.2140,      0.0253,      0.0096,
                47,         23.00,       288.0336,      0.9464,      2.1977,      0.0251,      0.0002,
                48,         23.50,       287.8751,      0.9495,      2.2150,      0.0255,      0.0174,
                49,         24.00,       287.5944,      0.9523,      2.2328,      0.0258,      0.0056,
                50,         24.50,       287.7426,      0.9613,      2.2947,      0.0272,      0.0190,
                51,         25.00,       287.9142,      0.9704,      2.3584,      0.0285,      0.0125,
                52,         25.50,       287.7400,      0.9802,      2.4239,      0.0300,      0.0120,
                53,         26.00,       287.5471,      0.9868,      2.4712,      0.0310,      0.0101,
                54,         26.50,       287.5596,      1.0073,      2.6129,      0.0343,      0.0242,
                55,         27.00,       286.9993,      1.0255,      2.7341,      0.0366,      0.0210,
                56,         27.50,       283.7596,      1.0372,      2.8140,      0.0384,      0.0328,
                57,         28.00,       276.5450,      1.0227,      2.7842,      0.0378,      0.0113,
                58,         28.50,       269.0606,      1.0109,      2.7658,      0.0377,      0.0109,
                59,         29.00,       264.2447,      0.9993,      2.7348,      0.0371,      0.0114,
                60,         29.50,       261.6475,      0.9929,      2.7149,      0.0368,      0.0023,
                61,         30.00,       260.5616,      0.9962,      2.7265,      0.0368,      0.0073,
                62,         30.50,       260.3289,      1.0075,      2.7672,      0.0375,      0.0085,
                63,         31.00,       260.2005,      1.0163,      2.8021,      0.0379,      0.0074,
                64,         31.50,       256.8676,      1.0262,      2.8601,      0.0392,      0.0139,
                65,         32.00,       247.0847,      1.0158,      2.8588,      0.0392,      0.0236,
                66,         32.50,       236.4785,      1.0050,      2.8356,      0.0389,      0.0213,
                67,         33.00,       251.3311,      2.2009,      4.8337,      0.0383,      3.5386,
                68,         33.50,       240.1560,      2.1003,      4.6115,      0.0369,      0.0604,
                69,         34.00,       468.6469,      2.4427,      5.5078,      0.0625,      9.3348,
                70,         34.50,       253.0179,      2.2482,      4.6728,      0.0504,      3.8442,
                71,         35.00,       254.4013,      1.8939,      3.7749,      0.0320,      1.2724,
                72,         35.50,       251.9707,      1.8734,      3.7394,      0.0320,      0.0271,
                73,         36.00,       249.2021,      1.8470,      3.6945,      0.0318,      0.0183,
                74,         36.50,       245.2307,      1.8153,      3.6308,      0.0313,      0.0164,
                75,         37.00,       239.5323,      1.7709,      3.5448,      0.0306,      0.0138,
                76,         37.50,       234.4350,      1.7281,      3.4707,      0.0303,      0.0313,
                77,         38.00,       231.5645,      1.7042,      3.4242,      0.0299,      0.0140,
                78,         38.50,       229.6541,      1.6860,      3.3992,      0.0299,      0.0175,
                79,         39.00,       227.4474,      1.6604,      3.3786,      0.0301,      0.0213,
                80,         39.50,       225.7295,      1.6374,      3.3765,      0.0311,      0.0173,
                81,         40.00,       223.5383,      1.6205,      3.3457,      0.0308,      0.0091,
                82,         40.50,       222.2329,      1.6108,      3.3265,      0.0306,      0.0048,
                83,         41.00,       221.8522,      1.6084,      3.3280,      0.0307,      0.0081,
                84,         41.50,       222.2456,      1.6150,      3.3801,      0.0319,      0.0166,
                85,         42.00,       222.3786,      1.6177,      3.4041,      0.0324,      0.0105,
