Variable,Site
SAL,A2390568
TEMP,A2390568
TRACE_1,No Site
WQ_TRC_AGE,No Site
WQ_NCS_SS1,EPA_Salt_Creek_Flow
WQ_OXY_OXY,EPA2014_Morella_Basin_North_Jack_Point
WQ_SIL_RSI,EPA_Salt_Creek_Flow
WQ_NIT_AMM,EPA_Salt_Creek_Flow
WQ_NIT_NIT,EPA_Salt_Creek_Flow
WQ_PHS_FRP,EPA_Salt_Creek_Flow
WQ_PHS_FRP_ADS,EPA_Salt_Creek_Flow
WQ_OGM_DOC,ALS_Morella_Creek_at_Gauge
WQ_OGM_POC,AWQC_EPA_12_South_Salt_Creek
WQ_OGM_DON,EPA_Salt_Creek_Flow
WQ_OGM_PON,AWQC_EPA_Morella_Creek_at_guage
WQ_OGM_DOP,EPA_Salt_Creek_Flow
WQ_OGM_POP,EPA_Salt_Creek_Flow
WQ_PHY_GRN,EPA_Salt_Creek_Flow
