CPS,Indicator,Start Time,End Time,Var,Trigger,Percentage
Surface water regime,Water level,01-06-2020,01-08-2020,H,0.3000,100.0000
Surface water regime,Water level,01-06-2020,01-08-2020,H,0.2000,0.0000
Surface water regime,Water level,01-09-2020,01-01-2021,H,0.2000,87.7049
Surface water regime,Water level,01-09-2020,01-01-2021,H,0.1500,0.8197
Surface water regime,Water level,01-01-2020,01-01-2021,SAL,100.0000,86.6120
